Compound,CAS,smiles,Solvents normalized,Solvent count,Solvent system/raw phrase,Method notes,Extraction confidence,Review flags,Source context,record_id,compound_name_clean,smiles_status,smiles_canonical,inchi_key,largest_fragment_smiles,largest_fragment_inchikey,fragment_count,rdkit_mw,rdkit_clogp,rdkit_tpsa,rdkit_hbd,rdkit_hba,rdkit_rotatable_bonds,rdkit_aromatic_rings,rdkit_ring_count,rdkit_fraction_csp3,formal_charge,morgan2_2048_num_onbits,morgan2_2048_onbits,fg_carboxylic_acid,fg_sulfonic_acid,fg_phosphonic_acid,fg_acid_any,fg_phenol,fg_alcohol,fg_amide,fg_urea,fg_imide,fg_ester,fg_anhydride,fg_acyl_halide,fg_aldehyde,fg_ketone,fg_amine_nonamide,fg_basic_aromatic_n,fg_nitro,fg_aromatic_halide,fg_acetal_like,fg_boc_carbamate_like,fg_quinone_like,entry_salt_or_ionic_flag,salt_terms_detected,derivative_terms_detected,primary_recryst_class,secondary_recryst_classes,nearest_neighbor_ready,solvent_list_clean,solvent_count_calc,solvent_families,has_water,has_alcohol,has_hydrocarbon,has_aromatic_hydrocarbon,has_ether,has_ketone_or_ester_solvent,has_halogenated_solvent,has_acidic_solvent,has_polar_aprotic_or_strong_solvent,has_legacy_solvent,legacy_solvents,modernized_solvent_suggestions,solvent_safety_classes,system_type_estimated,likely_pair_families,has_colon_ratio,colon_ratios_detected,has_percent_composition,percent_values_detected,has_aqueous_word,has_hot_or_reflux_word,has_charcoal_or_carbon,has_wash_word,has_additive_or_few_drops_word,has_acid_additive_hint,has_base_additive_hint,compatibility_warning_candidates,class_default_single_panel,class_default_pair_panel,recommendation_use_weight
Acetamide,60-35-5,CC(N)=O,methanol; acetone; ethyl acetate; methyl acetate; chloroform; benzene; dioxane; water; cyclohexane,9,"dissolving in hot MeOH (0; acetone, *benzene, chloroform, dioxane, methyl acetate or *benzene/ethyl acetate mixtures (3:1 and 1:1).; hot water; cyclohexane containing 5% (v/v) of *benzene.",hot; aqueous; charcoal; activated charcoal,High,benzene legacy,"Acetamide is crystallised by dissolving in hot MeOH (0.8ml/g), diluting with Et2O and allowing to stand [Wagner J Chem Edu 7 1135 1930, DOI: 10.1021/ed007p1135]. | Alternate crystallisation solvents are acetone, *benzene, chloroform, dioxane, methyl acetate or *benzene/ethyl acetate mixtures (3:1 and 1:1). | It has also been recrystallised from hot water after treating with HCl-washed activated charcoal (which had been repeatedly washed with water until free from chloride ions), then crystallised again from hot 50% aqueous EtOH and finally twice from hot 95% EtOH [Christoffers & Kegeles J Am Chem Soc 85 2562 1963, DOI: 10.1021/ja00900a005]. | It has also been purified by two recrystallisations from cyclohexane containing 5% (v/v) of *benzene.",RC00001,Acetamide,valid,CC(N)=O,DLFVBJFMPXGRIB-UHFFFAOYSA-N,CC(N)=O,DLFVBJFMPXGRIB-UHFFFAOYSA-N,1,59.068,-0.508,43.09,1,1,0,0,0,0.500,0,8,140 324 650 807 1017 1057 1171 1917,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,chloride,,salt_or_ionic,amide_urea_imide,Y,methanol; acetone; ethyl acetate; methyl acetate; chloroform; benzene; dioxane; water; cyclohexane,9,alcohol; aliphatic hydrocarbon; aromatic hydrocarbon; ether; halogenated; ketone/ester; water/aqueous,Y,Y,Y,Y,Y,Y,Y,N,N,Y,chloroform; benzene,methanol; acetone; ethyl acetate; methyl acetate; dichloromethane_if_needed; toluene; toluene/heptane; dioxane; water; cyclohexane,chloroform:orange_limit; benzene:red_legacy,aqueous_or_water_containing_system,alcohol/water; ester_or_ketone/hydrocarbon; aromatic/hydrocarbon; chlorinated/hydrocarbon; acetone/water,Y,1:1; 3:1,Y,5%; 50%; 95%,Y,Y,Y,Y,Y,Y,N,legacy_toxic_solvent_replace; halogenated_solvent_limit,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
Acetamidine hydrochloride,124-42-5,CC(=N)N,ethanol,1,small volumes of EtOH.,small volume,High,,The hydrochloride can be recrystallised from small volumes of EtOH.,RC00002,Acetamidine hydrochloride,valid,CC(=N)N,OQLZINXFSUDMHM-UHFFFAOYSA-N,CC(=N)N,OQLZINXFSUDMHM-UHFFFAOYSA-N,1,58.084,-0.058,49.87,2,1,0,0,0,0.500,0,8,140 355 623 807 1017 1057 1104 1171,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,chloride; hydrochloride,hydrochloride,salt_or_ionic,basic,Y,ethanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,ethanol,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
Acetamidomethanol,625-51-4,CC(=O)NCO,diethyl ether; acetone; ethyl acetate,3,"freshly 97 distilled Me2CO, wash the crystals with dry Et2O; EtOAc containing a few drops of Me2CO.",,High,,"Recrystallise it from freshly 97 distilled Me2CO, wash the crystals with dry Et2O and dry them in a vacuum desiccator over P2O5. | It also crystallises in needles from EtOAc containing a few drops of Me2CO.",RC00003,Acetamidomethanol,valid,CC(=O)NCO,HWJHZLJIIWOTGZ-UHFFFAOYSA-N,CC(=O)NCO,HWJHZLJIIWOTGZ-UHFFFAOYSA-N,1,89.094,-0.928,49.33,2,2,1,0,0,0.667,0,14,80 94 197 222 245 451 650 731 807 1017 1057 1152 1440 1917,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,amide_urea_imide_like,amide_urea_imide,Y,diethyl ether; acetone; ethyl acetate,3,ether; ketone/ester,N,N,N,N,Y,Y,N,N,N,N,,diethyl ether; acetone; ethyl acetate,,additive_or_minor_cosolvent_system,,N,,N,,N,N,N,Y,Y,N,N,,ethanol; methanol; water; ethanol/water 90:10; acetone; ethyl acetate; acetonitrile; ethanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; ethyl acetate/heptane; acetone/heptane,1.0
N-(2-Acetamido)-2-aminoethanesulfonic acid (ACES),7365-82-4,NC(=O)CNCCS(=O)(=O)O,ethanol; water,2,hot aqueous EtOH.,hot; aqueous,High,,"Recrystallise ACES from hot aqueous EtOH. [Perrin & Dempsey Buffers for pH and Metal Ion Control Chapman & Hall, London 1974, ISBN 0412117002; Beilstein 4 III 1707.] N-(2-Acetamido)iminodiacetic acid (ADA)",RC00004,N-(2-Acetamido)-2-aminoethanesulfonic acid (ACES),valid,NC(=O)CNCCS(=O)(=O)O,DBXNUXBLKRLWFA-UHFFFAOYSA-N,NC(=O)CNCCS(=O)(=O)O,DBXNUXBLKRLWFA-UHFFFAOYSA-N,1,182.201,-2.051,109.49,3,4,5,0,0,0.750,0,22,80 140 253 350 397 481 592 616 650 667 807 1004 1097 1152 1171 1320 1440 1476 1672 1898 1917 1998,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,,acidic_neutral,acidic; amide_urea_imide; basic; high_tpsa,Y,ethanol; water,2,alcohol; water/aqueous,Y,Y,N,N,N,N,N,N,N,N,,ethanol; water,,aqueous_or_water_containing_system,alcohol/water,N,,N,,Y,Y,N,N,N,Y,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
Acetic hydrazide,1068-57-1,CC(=O)NN,ethanol,1,EtOH.,,High,,"C2H6N2O, M 74.1, m 67o, b 127o/18mm, crystallises as needles from EtOH.",RC00005,Acetic hydrazide,valid,CC(=O)NN,OFLXLNCGODUUOT-UHFFFAOYSA-N,CC(=O)NN,OFLXLNCGODUUOT-UHFFFAOYSA-N,1,74.083,-1.004,55.12,2,2,0,0,0,0.500,0,11,245 367 650 807 1017 1057 1152 1171 1701 1794 1917,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,,amide_urea_imide_like,amide_urea_imide; basic,Y,ethanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,ethanol,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol; water; ethanol/water 90:10; acetone; ethyl acetate; acetonitrile; ethanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; ethyl acetate/heptane; acetone/heptane,1.0
Acetoacetamide,5977-14-0,CC(=O)CC(N)=O,petroleum ether; acetone; chloroform; pyridine,4,"CHCl3, or Me2CO/petroleum ether.; pyridine with 4mols of solvent.",,High,,"Recrystallise the amide from CHCl3, or Me2CO/petroleum ether. | It also crystallises from pyridine with 4mols of solvent.",RC00006,Acetoacetamide,valid,CC(=O)CC(N)=O,GCPWJFKTWGFEHH-UHFFFAOYSA-N,CC(=O)CC(N)=O,GCPWJFKTWGFEHH-UHFFFAOYSA-N,1,101.105,-0.549,60.16,1,2,2,0,0,0.500,0,14,27 80 140 650 807 1017 1057 1152 1171 1397 1550 1671 1898 1917,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,amide_urea_imide_like,amide_urea_imide,Y,petroleum ether; acetone; chloroform; pyridine,4,aliphatic hydrocarbon; basic/polar aprotic; halogenated; ketone/ester,N,N,Y,N,N,Y,Y,N,Y,Y,petroleum ether; chloroform,heptane; cyclohexane; acetone; ethyl acetate; dichloromethane_if_needed; pyridine,chloroform:orange_limit; pyridine:orange_basic_odor,explicit_mixed_or_pair_system,ester_or_ketone/hydrocarbon; chlorinated/hydrocarbon,N,,N,,N,N,N,N,N,Y,Y,halogenated_solvent_limit,ethanol; methanol; water; ethanol/water 90:10; acetone; ethyl acetate; acetonitrile; ethanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; ethyl acetate/heptane; acetone/heptane,1.0
Acetone semicarbazone,110-20-3,CC(C)=NNC(N)=O,ethanol; water,2,water or from aqueous EtOH.,aqueous,High,,"C4H10N3O, M 115.1, m 187o, pK25 1.33, crystallises from water or from aqueous EtOH. [Beilstein 3 H 101, 3 I 48, 3 II 81, 3 III 189, 3 IV 179.] Acetone cyanohydrin",RC00007,Acetone semicarbazone,valid,CC(C)=NNC(N)=O,HQDAJGNZGNZGCO-UHFFFAOYSA-N,CC(C)=NNC(N)=O,HQDAJGNZGNZGCO-UHFFFAOYSA-N,1,115.136,0.051,67.48,2,2,1,0,0,0.500,0,17,140 318 323 334 650 700 725 807 1017 1057 1152 1171 1226 1526 1917 2008 2019,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,semicarbazone,amide_urea_imide_like,amide_urea_imide,Y,ethanol; water,2,alcohol; water/aqueous,Y,Y,N,N,N,N,N,N,N,N,,ethanol; water,,aqueous_or_water_containing_system,alcohol/water,N,,N,,Y,N,N,N,N,N,N,,ethanol; methanol; water; ethanol/water 90:10; acetone; ethyl acetate; acetonitrile; ethanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; ethyl acetate/heptane; acetone/heptane,1.0
Acetonedicarboxylic acid (3-oxoglutaric acid),542-05-2,O=C(O)CC(=O)CC(=O)O,ethyl acetate,1,ethyl acetate,,High,,Crystallise it from ethyl acetate and store it over P2O5.,RC00008,Acetonedicarboxylic acid (3-oxoglutaric acid),valid,O=C(O)CC(=O)CC(=O)O,OXTNCQMOKLOUAM-UHFFFAOYSA-N,O=C(O)CC(=O)CC(=O)O,OXTNCQMOKLOUAM-UHFFFAOYSA-N,1,146.098,-0.495,91.67,2,3,4,0,0,0.400,0,11,80 136 312 389 475 650 807 1152 1432 1737 1917,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; high_tpsa,Y,ethyl acetate,1,ketone/ester,N,N,N,N,N,Y,N,N,N,N,,ethyl acetate,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
Acetoxime (acetone oxime),127-06-0,CC(C)=NO,petroleum ether,1,petroleum ether (b 40-60o) and can be,sublim,High,,"C3H7NO, M 73.1, m 63o, b 135o/760mm, d 0.901, pK40 0.99, crystallises from petroleum ether (b 40-60o) and can be sublimed. [Beilstein 1 H 649, 1 IV 3202.] Acetone semicarbazone",RC00009,Acetoxime (acetone oxime),valid,CC(C)=NO,PXAJQJMDEXJWFB-UHFFFAOYSA-N,CC(C)=NO,PXAJQJMDEXJWFB-UHFFFAOYSA-N,1,73.095,0.856,32.59,1,2,0,0,0,0.667,0,8,91 343 725 807 995 1017 1057 1226,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,oxime; semicarbazone,neutral_other,,Y,petroleum ether,1,aliphatic hydrocarbon,N,N,Y,N,N,N,N,N,N,Y,petroleum ether,heptane; cyclohexane,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol; isopropanol; acetone; ethyl acetate; water or ethanol/water 90:10; toluene; heptane/cyclohexane,ethanol/water; methanol/water; ethyl acetate/heptane; acetone/heptane; toluene/heptane,1.0
"Acetylacetone (2,4-pentanedione, acac)",123-54-6,CC(=O)CC(C)=O,,0,the melt.,,Medium,no solvent normalized; medium/low confidence,An additional purification step is fractional crystallisation from the melt.,RC00010,"Acetylacetone (2,4-pentanedione, acac)",valid,CC(=O)CC(C)=O,YRKCREAYFQTBPV-UHFFFAOYSA-N,CC(=O)CC(C)=O,YRKCREAYFQTBPV-UHFFFAOYSA-N,1,100.117,0.554,34.14,0,2,2,0,0,0.600,0,10,27 80 650 807 1017 1057 1152 1550 1745 1917,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,ester_lactone_carbonyl,,Y,,0,,N,N,N,N,N,N,N,N,N,N,,,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethyl acetate; acetone; ethanol; methanol; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; toluene/heptane,0.5
