No.,Reaction name (book TOC),Normalized / common name,Book page,Subentry,Parent entry,Entry type,Primary class,Concise description,Representative reaction SMILES,SMILES status,RXNO ID,RXNO label,RXNO definition,Notes / discrepancies,Book source,RXNO URL
1,Alder ene reaction,Alder ene reaction,1,No,,Reaction,Cycloaddition / annulation / ring formation,Addition of an enophile to an alkene via allylic transposition. Also known as hydroallyl addition.,C=CC.C=O>>C=CCCO,Representative; RDKit-parsable,RXNO:0000007,ene reaction,A joining reaction where an alkene with an allylic hydrogen reacts with a compound containing a multiple bond (an enophile) to form a substituted alkene.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 1",https://purl.obolibrary.org/obo/RXNO_0000007
2,Aldol condensation,Aldol condensation,3,No,,Reaction,C–C bond formation / condensation / multicomponent,"Condensation of a carbonyl with an enolate or an enol. A simple case is addition of an enolate to an aldehyde to afford an alcohol, thus the name aldol.",CC(C)=O.CC=O>>CC(O)CC(C)=O,Representative; RDKit-parsable,RXNO:0000017,aldol condensation,"An aldol addition where an enol or enolate reacts with a carbonyl compound to form an alpha,beta-unsaturated ketone.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 3",https://purl.obolibrary.org/obo/RXNO_0000017
3,Algar–Flynn–Oyamada reaction,Algar–Flynn–Oyamada reaction,5,No,,Reaction,Heterocycle synthesis,Conversion of 2’-hydroxychalcones to 2-aryl-3-hydroxy-4H-1benzopyran-4-ones (flavonols) by alkaline hydrogen peroxide oxidation.,O=C(/C=C/c1ccccc1)c1ccccc1O>>O=c1oc(-c2ccccc2)c(O)c2ccccc12,Representative; RDKit-parsable,RXNO:0000467,Algar-Flynn-Oyamada reaction,A fused-ring-system formation reaction where a flavonol is produced by oxidation of a chalcone with alkaline hydrogen peroxide.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 5",https://purl.obolibrary.org/obo/RXNO_0000467
4,Allan–Robinson reaction,Allan–Robinson reaction,8,No,,Reaction,Heterocycle synthesis,Synthesis of flavones or isoflavones.,,Not encoded,RXNO:0000475,Allan-Robinson reaction,Reaction of ortho-hydroxyaryl ketones with aromatic acid anhydrides to yield a flavone or isoflavone.,,"Li, Name Reactions, 3rd ed. (2006), p. 8",https://purl.obolibrary.org/obo/RXNO_0000475
5,Appel reaction,Appel reaction,10,No,,Reaction,Functional-group interconversion / method,Conversion of an alcohol into the corresponding chloride or bromide using triphenylphosphine and a tetrahalomethane.,OCc1ccccc1>>BrCc1ccccc1,Representative; RDKit-parsable,RXNO:0000406,Appel halogenation,Conversion of an alcohol to an alkyl halide with triphenylphosphine and a halide source.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 10",https://purl.obolibrary.org/obo/RXNO_0000406
6,Arndt–Eistert homologation,Arndt–Eistert homologation,12,No,,Reaction,Functional-group interconversion / method,One carbon homologation of carboxylic acids using diazomethane.,O=C(O)c1ccccc1>>O=C(O)Cc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 12",
7,Baeyer–Villiger oxidation,Baeyer–Villiger oxidation,14,No,,Reaction,Oxidation / alkene functionalization,Oxidation of a ketone to an ester or lactone by insertion of oxygen adjacent to the carbonyl; migratory aptitude controls regioselectivity.,O=C1CCCCC1>>O=C1OCCCCC1,Representative; RDKit-parsable,RXNO:0000031,Baeyer-Villiger oxidation,"A reaction of a ketone to give an ester, in which an alkyl, benzyl or phenyl group migrates from one of the alpha-carbon centres to an adjacent oxygen, displacing an oxygen-based leaving group; the result is a formal insertion of an oxygen atom. The reaction also works with aldehydes, giving the corresponding carboxylic acid. The term \""Baeyer-Villiger rearrangement\"" may occasionally be used in a mechanistic sense to refer specificially to the actual rearrangement step.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 14",https://purl.obolibrary.org/obo/RXNO_0000031
8,Baker–Venkataraman rearrangement,Baker–Venkataraman rearrangement,16,No,,Reaction,Rearrangement / fragmentation,"Base-promoted intramolecular acyl transfer that converts an o-acylated hydroxyaryl ketone into a 1,3-diketone.",CC(=O)c1ccccc1OC(=O)c1ccccc1>>O=C(CC(=O)c1ccccc1)c1ccccc1O,Representative; RDKit-parsable,RXNO:0000122,Baker-Venkataraman rearrangement,"The base-catalysed rearrangement of an o-acetoxyacetophenone to give a hydroxyphenyl-1,3-diketone.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 16",https://purl.obolibrary.org/obo/RXNO_0000122
9,Bamberger rearrangement,Bamberger rearrangement,18,No,,Reaction,Rearrangement / fragmentation,Acid-mediated rearrangement of N-phenylhydroxylamines to 4-aminophenols.,ONc1ccccc1>>Nc1ccc(O)cc1,Representative; RDKit-parsable,RXNO:0000492,Bamberger rearrangement,Rearrangement of an N-phenylhydroxamine in acid to yield a para-aminophenol.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 18",https://purl.obolibrary.org/obo/RXNO_0000492
10,Bamford–Stevens reaction,Bamford–Stevens reaction,20,No,,Reaction,Functional-group interconversion / method,"Base-induced decomposition of a tosylhydrazone to an alkene, generally favoring the thermodynamic alkene under protic or thermal conditions.",CC(=NN(S(=O)(=O)c1ccc(C)cc1))c1ccccc1>>C=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000124,Bamford-Stevens reaction,The reaction of a tosylhydrazone of an aldehyde or ketone with a strong base to give an olefin.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 20",https://purl.obolibrary.org/obo/RXNO_0000124
11,Barbier coupling reaction,Barbier coupling reaction,22,No,,Reaction,Cross-coupling / organometallic coupling,"One-pot addition of an organohalide and metal to a carbonyl compound, generating and trapping the organometallic reagent in situ.",O=Cc1ccccc1.C=CCBr>>C=CCC(O)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 22",
12,Bargellini reaction,Bargellini reaction,24,No,,Reaction,Heterocycle synthesis,"Synthesis of hindered morpholinones or piperazinones from ketones (such as acetone) and 2-amino-2-methyl-1-propanol or 1,2-diaminopropanes.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 24",
