notation,expected,detected_ids,detected_names,smiles
Simple Ph-Ph,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccccc2)cc1
Electron-poor ArCl,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Clc1ccc(C#N)cc1.c1ccc(B(O)O)cc1>>N#Cc1ccc(-c2ccccc2)cc1
Electron-rich ArBr,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccc(OC)cc1.c1ccc(B(O)O)cc1>>COc1ccc(-c2ccccc2)cc1
Heteroaryl pyridine,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Ic1ccncc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccncc2)cc1
CF3 substrate,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccc(C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1
Naphthyl chloride,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Clc1ccc2ccccc2c1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc3ccccc3c2)cc1
Sterically hindered,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1cc(C)ccc1C.c1ccc(B(O)O)cc1>>Cc1ccc(C)c(-c2ccccc2)c1
Aryl triflate electrophile,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Fc1ccc(OS(=O)(=O)C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>Fc1ccc(-c2ccccc2)cc1
Vinyl bromide + vinyl boronic acid,Suzuki,suzuki_miyaura,Suzuki-Miyaura,C/C=C/Br.C=CB(O)O>>C/C=C/C=C
Potassium aryltrifluoroborate,Suzuki,,,Brc1ccc(OC)cc1.[K+].[B-](F)(F)c2ccccc2>>COc1ccc(-c2ccccc2)cc1
2-pyridyl MIDA slow-release,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Clc1ccncc1.c1ccncc1B1OC(=O)CN(CC(=O)O)C(=O)CN(CC(=O)O)C(=O)O1>>c1ccc(-c2ccccn2)nc1
Dichloropyridine,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccc(Cl)nc1.c2ccc(B(O)O)cc2>>c1ccc(-c2ccc(Cl)nc2)cc1
Mixed halide pyridine,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1cc(Cl)nc(Cl)c1.c2ccc(B(O)O)nc2>>c1ccc(-c2cc(Cl)nc(Cl)c2)nc1
Indole heterobiaryl,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1cccc2[nH]ccc12.c3ccc(B(O)O)cc3>>c1ccc(-c2ccc3[nH]ccc3c2)cc1
Trifluoromethyl aryl chloride + pyrimidine boronate,Suzuki,buchwald_hartwig|chan_lam_cn|suzuki_miyaura,Buchwald-Hartwig|Chan-Lam C-N|Suzuki-Miyaura,FC(F)(F)c1ccc(Cl)cc1.Nc1ccnc(B(O)O)n1>>FC(F)(F)c1ccc(-c2cc(N)ncn2)cc1
Chloropyridyl boronic acid with aryl bromide,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Clc1cncc(B(O)O)c1.Brc2ccc(F)cc2>>Fc1ccc(-c2cc(Cl)cnc2)cc1
Bis-coupling to biphenyl,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccc(Br)cc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
Meta-dibromobenzene,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1cccc(Br)c1.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc(-c3ccccc3)c2)cc1
Pyrimidine-5-boronic acid,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccccc1.c1ncc(B(O)O)cn1>>c1ccc(-c2cnccn2)cc1
Furan-2-boronic acid,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Clc1ccc(C#N)cc1.c1coc(B(O)O)c1>>N#Cc1ccc(-c2ccoc2)cc1
Thiophene-2-boronic acid,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccncc1.c1csc(B(O)O)c1>>c1cc(-c2cccs2)ccn1
Pyrrole-3-boronic acid,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Ic1ccc(C(=O)OC)cc1.c1c[nH]c(B(O)O)c1>>COC(=O)c1ccc(-c2cc[nH]c2)cc1
3-Bromoquinoxaline,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1cnc2ccccc2n1.c1ccc(B(O)O)cc1>>c1ccc(-c2cnc3ccccc3n2)cc1
4-Chloroindole + pyridine boronic acid,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Clc1cccc2c1cc[nH]2.c1ccc(B(O)O)nc1>>c1ccc(-c2cccc3[nH]ccc23)nc1
2-Bromobenzothiazole,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1nc2ccccc2s1.Cc1ccc(B(O)O)cc1>>Cc1ccc(-c2nc3ccccc3s2)cc1
2-Iodobenzoxazole,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Ic1nc2ccccc2o1.COc1ccc(B(O)O)cc1>>COc1ccc(-c2nc3ccccc3o2)cc1
Benzothiadiazole,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1cccc2nsnc12.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc3nsnc23)cc1
2-Isopropyl-bromobenzene,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccccc1C(C)C.c1ccc(B(O)O)cc1>>CC(C)c1ccccc1-c1ccccc1
"2,6-Dimethyl-chlorobenzene",Suzuki,suzuki_miyaura,Suzuki-Miyaura,Clc1c(C)cccc1C.COc1ccc(B(O)O)cc1>>Cc1cccc(C)c1-c1ccc(OC)cc1
Ortho-ethoxy + ortho-methyl,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccccc1OCC.c1ccc(B(O)O)cc1C>>CCOc1ccccc1-c1ccccc1C
Pentafluorobromobenzene,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Fc1c(F)c(F)c(Br)c(F)c1F.c1ccc(B(O)O)cc1>>Fc1c(F)c(F)c(-c2ccccc2)c(F)c1F
"3,5-Dichloro-bromobenzene",Suzuki,suzuki_miyaura,Suzuki-Miyaura,Clc1cc(Cl)cc(Br)c1.c1ccc(B(O)O)cc1>>Clc1cc(Cl)cc(-c2ccccc2)c1
"2,5-Dinitro-bromobenzene",Suzuki,suzuki_miyaura|reduction_nitro,Suzuki-Miyaura|Nitro Reduction,Brc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].c1ccc(B(O)O)cc1>>c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
Ethyl ester protected,Suzuki,suzuki_miyaura,Suzuki-Miyaura,Brc1ccc(C(=O)OCC)cc1.c1ccc(B(O)O)cc1>>CCOC(=O)c1ccc(-c2ccccc2)cc1
