example,expected,detected_ids,detected_names,smiles
Simple Ph-Ph,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccccc2)cc1
Electron-poor ArCl,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Clc1ccc(C#N)cc1.c1ccc(B(O)O)cc1>>N#Cc1ccc(-c2ccccc2)cc1
Electron-rich ArBr,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccc(OC)cc1.c1ccc(B(O)O)cc1>>COc1ccc(-c2ccccc2)cc1
Heteroaryl pyridine,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Ic1ccncc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccncc2)cc1
CF3 substrate,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccc(C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1
Naphthyl chloride,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Clc1ccc2ccccc2c1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc3ccccc3c2)cc1
Sterically hindered,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1cc(C)ccc1C.c1ccc(B(O)O)cc1>>Cc1ccc(C)c(-c2ccccc2)c1
Aryl triflate electrophile,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Fc1ccc(OS(=O)(=O)C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>Fc1ccc(-c2ccccc2)cc1
Vinyl bromide + vinyl boronic acid,Suzuki,heck|suzuki_miyaura|ullmann_ether|epoxidation|oxidation_alcohol|ring_closing_metathesis,Heck|Suzuki-Miyaura|Ullmann Ether Synthesis|Epoxidation|Alcohol Oxidation|Ring-Closing Metathesis,C/C=C/Br.C=CB(O)O>>C/C=C/C=C
Potassium aryltrifluoroborate,Suzuki,halogenation_aromatic,Aromatic Halogenation,Brc1ccc(OC)cc1.[K+].[B-](F)(F)c2ccccc2>>COc1ccc(-c2ccccc2)cc1
2-pyridyl MIDA slow-release,Suzuki,suzuki_miyaura|halogenation_aromatic,Suzuki-Miyaura|Aromatic Halogenation,Clc1ccncc1.c1ccncc1B1OC(=O)CN(CC(=O)O)C(=O)CN(CC(=O)O)C(=O)O1>>c1ccc(-c2ccccn2)nc1
Dichloropyridine,Suzuki,suzuki_miyaura|ullmann_ether|halogenation_aromatic|oxidation_alcohol,Suzuki-Miyaura|Ullmann Ether Synthesis|Aromatic Halogenation|Alcohol Oxidation,Brc1ccc(Cl)nc1.c2ccc(B(O)O)cc2>>c1ccc(-c2ccc(Cl)nc2)cc1
