name,smiles,aromatic_ring_count,ring_sizes,ring_size_counts,heteroaromatic,hetero_ring_sizes,hetero_counts,heterocycle_types
Bromobenzene,Brc1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
Chlorobenzene,Clc1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
Iodobenzene,Ic1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
Fluorobenzene,Fc1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromobenzonitrile,Brc1ccc(C#N)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromoanisole,Brc1ccc(OC)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromobenzotrifluoride,Brc1ccc(C(F)(F)F)cc1,1,6,6:1,False,,N:0;O:0;S:0,
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,1,6,6:1,False,,N:0;O:0;S:0,
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,1,6,6:1,False,,N:0;O:0;S:0,
2-Bromotoluene,Brc1ccccc1C,1,6,6:1,False,,N:0;O:0;S:0,
"3,5-Dimethylbromobenzene",Brc1cc(C)cc(C)c1,1,6,6:1,False,,N:0;O:0;S:0,
Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,1,6,6:1,False,,N:0;O:0;S:0,
2-Bromonaphthalene,Brc1ccc2ccccc2c1,2,6,6:2,False,,N:0;O:0;S:0,
2-Chloronaphthalene,Clc1ccc2ccccc2c1,2,6,6:2,False,,N:0;O:0;S:0,
1-Bromonaphthalene,Brc1cccc2c1cccc2,2,6,6:2,False,,N:0;O:0;S:0,
4-Bromopyridine,Brc1ccncc1,1,6,6:1,True,6,N:1;O:0;S:0,Pyridine
3-Bromopyridine,Brc1cccnc1,1,6,6:1,True,6,N:1;O:0;S:0,Pyridine
2-Bromopyridine,Brc1ccccn1,1,6,6:1,True,6,N:1;O:0;S:0,Pyridine
4-Chloropyridine,Clc1ccncc1,1,6,6:1,True,6,N:1;O:0;S:0,Pyridine
5-Bromopyrimidine,Brc1cnccn1,1,6,6:1,True,6,N:2;O:0;S:0,Pyrimidine
2-Bromothiophene,Brc1cccs1,1,5,5:1,True,5,N:0;O:0;S:1,Thiophene
2-Bromofuran,Brc1ccco1,1,5,5:1,True,5,N:0;O:1;S:0,Furan
3-Bromopyrrole,Brc1cc[nH]c1,1,5,5:1,True,5,N:1;O:0;S:0,Pyrrole
5-Bromoindole,Brc1ccc2[nH]ccc2c1,2,5;6,5:1;6:1,True,5,N:1;O:0;S:0,Indole;Pyrrole
2-Bromobenzothiazole,Brc1nc2ccccc2s1,2,5;6,5:1;6:1,True,5,N:1;O:0;S:1,Thiazole
2-Iodobenzoxazole,Ic1nc2ccccc2o1,2,5;6,5:1;6:1,True,5,N:1;O:1;S:0,Oxazole
3-Bromoquinoline,Brc1ccnc2ccccc12,2,6,6:2,True,6,N:1;O:0;S:0,Quinoline
3-Bromoquinoxaline,Brc1cnc2ccccc2n1,2,6,6:2,True,6,N:2;O:0;S:0,Pyrimidine
"2,5-Dichloropyridine",Clc1ccc(Cl)nc1,1,6,6:1,True,6,N:1;O:0;S:0,Pyridine
Phenyl triflate,c1ccc(OS(=O)(=O)C(F)(F)F)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Methoxyphenyl triflate,COc1ccc(OS(=O)(=O)C(F)(F)F)cc1,1,6,6:1,False,,N:0;O:0;S:0,
Phenyl tosylate,c1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,2,6,6:2,False,,N:0;O:0;S:0,
Phenyl mesylate,c1ccc(OS(=O)(=O)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Cyanophenyl triflate,N#Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,1,6,6:1,False,,N:0;O:0;S:0,
α-Bromostyrene,BrC(=C)c1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
Benzyl bromide,BrCc1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
2-Phenylethyl bromide,C(Br)Cc1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
Phenylboronic acid,c1ccc(B(O)O)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Methoxyphenylboronic acid,COc1ccc(B(O)O)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Cyanophenylboronic acid,N#Cc1ccc(B(O)O)cc1,1,6,6:1,False,,N:0;O:0;S:0,
Phenylboronic acid pinacol ester,c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,1,6,6:1,False,,N:0;O:0;S:0,
Potassium phenyltrifluoroborate,c1ccc([B-](F)(F)F)cc1.[K+],1,6,6:1,False,,N:0;O:0;S:0,
Pyridine-4-boronic acid,c1ccncc1B(O)O,1,6,6:1,True,6,N:1;O:0;S:0,Pyridine
Furan-2-boronic acid,c1coc(B(O)O)c1,1,5,5:1,True,5,N:0;O:1;S:0,Furan
Thiophene-2-boronic acid,c1csc(B(O)O)c1,1,5,5:1,True,5,N:0;O:0;S:1,Thiophene
Aniline,c1ccc(N)cc1,1,6,6:1,False,,N:0;O:0;S:0,
N-Methylaniline,c1ccc(NC)cc1,1,6,6:1,False,,N:0;O:0;S:0,
"N,N-Dimethylaniline",c1ccc(N(C)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Methoxyaniline,COc1ccc(N)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Aminobenzonitrile,N#Cc1ccc(N)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Aminopyridine,Nc1ccncc1,1,6,6:1,True,6,N:1;O:0;S:0,Pyridine
Indole,c1ccc2[nH]ccc2c1,2,5;6,5:1;6:1,True,5,N:1;O:0;S:0,Indole;Pyrrole
3-Aminopyrrole,c1c[nH]c(N)c1,1,5,5:1,True,5,N:1;O:0;S:0,Pyrrole
2-Methylaniline,Nc1ccccc1C,1,6,6:1,False,,N:0;O:0;S:0,
"3,5-Dimethylaniline",Nc1cc(C)cc(C)c1,1,6,6:1,False,,N:0;O:0;S:0,
Benzylamine,NCc1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
Phenol,c1ccc(O)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Methoxyphenol,COc1ccc(O)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Hydroxybenzonitrile,N#Cc1ccc(O)cc1,1,6,6:1,False,,N:0;O:0;S:0,
Benzyl alcohol,OCc1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Hydroxypyridine,Oc1ccncc1,1,6,6:1,True,6,N:1;O:0;S:0,Pyridine
Thiophenol,c1ccc(S)cc1,1,6,6:1,False,,N:0;O:0;S:0,
Thioanisole,CSc1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
Phenylacetylene,C#Cc1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Ethynylpyridine,C#Cc1ccncc1,1,6,6:1,True,6,N:1;O:0;S:0,Pyridine
Phenylmagnesium bromide,[Mg]Brc1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
Phenylzinc chloride,Cl[Zn]c1ccccc1,1,6,6:1,False,,N:0;O:0;S:0,
Phenyltrimethylstannane,c1ccc([Sn](C)(C)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromophenylboronic acid,Brc1ccc(B(O)O)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromoaniline,Brc1ccc(N)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromophenol,Brc1ccc(O)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromophenylacetylene,Brc1ccc(C#C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,1,6,6:1,False,,N:0;O:0;S:0,
"1,4-Phenylenediamine",Nc1ccc(N)cc1,1,6,6:1,False,,N:0;O:0;S:0,
4-Bromo-N-Boc-aniline,Brc1ccc(NC(=O)OC(C)(C)C)cc1,1,6,6:1,False,,N:0;O:0;S:0,
