name,smiles,motif_count,motifs,alt_motifs,error
Benzonitrile,N#Cc1ccccc1,1,Ar-CN,,
anisole,COC1=CC=CC=C1,1,Ar-OR,CH3-OR / Alkyl-OR,
Quinuclidine,C1CN2CCC1CC2,1,RCH2-NR2,Alkyl-NR2,
Triphenyl phosphite,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,1,Ar-H,,
Ph2O,c1ccc(Oc2ccccc2)cc1,1,Ar-OAr,Ar-OR,
Tributylamine,CCCCN(CCCC)CCCC,1,RCH2-NR2,Alkyl-NR2,
Tris(p-tolyl)phosphine,CC1=CC=C(C=C1)P(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C,4,Ar-PR2 / Ar-R / Ar-R / Ar-R,,
Potassium trimethylsilanolate,C[Si](C)(C)[O-],1,Alkyl-Si,,
p-Xylene,Cc1ccc(C)cc1,2,Ar-R / Ar-R,,
Ammonium Bicarbonate,C(=O)(O)[O-].[NH4+],1,Any-CO2M,,
"1,2-Dichloroethane",ClCCCl,2,RCH2-Cl / RCH2-Cl,Alkyl-Cl / RCH2-X / Alkyl-X / Alkyl-Cl / RCH2-X / Alkyl-X,
Propionitrile,CCC#N,3,RCH2-CN / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CN / Alkyl-H / Alkyl-H,
Ethylene glycol,OCCO,2,RCH2-OH / RCH2-OH,Alkyl-OH / Alkyl-OH,
N-Methylglycine,CNCC(=O)O,5,RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-NHR / CH3-NHR,Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NHR / Alkyl-NHR,
BrettPhos,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,7,Ar-PR2 / Ar-OR / Ar-OR / Ar-R / Ar-R / Ar-R / Ar-Ar,Alkyl-PR2 / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
COMU (Oxyma-based uronium),CCOC(=O)C(C#N)=NOC(N1CCOCC1)=[N+](C)C,3,RCH2-OR / RCH2-NR2 / CH3-NR2,Alkyl-OR / Alkyl-NR2 / Alkyl-NR2,
Benzene-d6,c1ccccc1,1,Ar-H,,
"N,N-Dimethylethylenediamine",CN(C)CCN,3,RCH2-NR2 / RCH2-NH2 / CH3-NR2,Alkyl-NR2 / Alkyl-NH2 / Alkyl-NR2,
Methyl isobutyl ketone,C(C(=O)O)(C(=O)O)O,4,R2CH-CO2H / R2CH-CO2H / Alkyl-H-acidic / R2CH-OH,Alkyl-CO2H / Alkyl-CO2H / Alkyl-H / Alkyl-OH,
Diisopropyl ether,CC(C)OC(C)C,1,R2CH-OR,Alkyl-OR,
Isopropyl acetate,CC(=O)OC(C)C,4,Alkyl-Ester / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-H / Alkyl-H / Alkyl-H,
