schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,reaction_label,reaction_label_status,yield_pct,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,nucleophile_label,nucleophile_family,nucleophile_initial_h_count,nucleophile_contexts,nucleophile_availability,nucleophile_flags,product_connection_label,product_connection_json,spectator_group_ids,family_environment_json,reference,notes
1.1,31-113-CAS-23355913,3,review,incomplete_condition_identity|multiple_products,C1CCNC1.CC(C)(C)c1ccc(Br)cc1>>CC(C)(C)c1ccccc1.CC(C)(C)c1ccc(O)cc1.CC(C)(C)c1ccc(N2CCCC2)cc1,exact_product_reconstruction,Ar–Br + R1R2–NH → Ar–NR1R2,exact_product,5.0,COND1:catalyst=207569-11-7+2363044-86-2|reagent=unknown|solvent=127-19-5,False,207569-11-7|2363044-86-2,,127-19-5,Ar–Br,Ar,Br,open,neutral,,R1R2–NH,secondary_amine,1,Alkyl|Alkyl,free,,Ar–NR1R2,"{""bond_order"": ""single"", ""concise_label"": ""Ar–NR1R2"", ""connection_type"": ""C_N"", ""endpoint_1"": {""atom_index"": 7, ""component_index"": 1, ""context"": ""Ar"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom7:site0""}, ""endpoint_2"": {""atom_index"": 3, ""component_index"": 0, ""context"": ""N"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom3:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_n_coupling"", ""feature_version"": ""1.0"", ""flags"": [], ""partners"": [{""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–Br"", ""competing_site_labels"": [], ""component_index"": 1, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {}, ""flags"": [], ""handle_token"": ""Br"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom7:site0"", ""spectator_group_ids"": [], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""R1R2–NH"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""center_token"": ""N"", ""derived_family"": ""secondary_amine"", ""initial_h_count"": 1, ""retained_contexts"": [""Alkyl"", ""Alkyl""]}, ""flags"": [], ""handle_token"": ""N"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""secondary_amine"", ""label"": ""R2NH"", ""tags"": [""basic"", ""nucleophilic"", ""unprotected_XH"", ""metal_binding"", ""strong_metal_binding""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom3:site0"", ""spectator_group_ids"": [], ""steric"": {""carbon_neighbor_count"": 2, ""class"": ""secondary"", ""local_heavy_atoms_r2"": 5, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Nature Catalysis (2020), 3(8), 611-620","photochemical, ultrasound, catalyst prepared and used, reusable catalyst, sealed vial used, blue LEDs (520nm) used"
1.1,31-170-CAS-21439473,4,review,missing_c_n_family_environment|missing_c_n_product_connection|not_verified_as_sp2_c_n|reaction_not_exactly_verified,Brc1ccccc1I.COc1ccc(-c2nc(-c3ccccc3O)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Oc2ccccc2-3)cc1,reactant_grammar_only,(Ar–Br + AromN–H) OR (Ar–I + AromN–H) →,source_family_ambiguous_reactants,86.0,COND1:catalyst=66-71-7+7681-65-4|reagent=534-17-8|solvent=127-19-5,True,66-71-7|7681-65-4,534-17-8,127-19-5,,,,,,,,,,,,,,,,,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858",Ullmann reaction
1.1,31-172-CAS-19352969,7,review,missing_c_n_family_environment|missing_c_n_product_connection|not_verified_as_sp2_c_n|reaction_not_exactly_verified,Cc1cc(Cl)ccc1C(=O)Nc1cccc2cccnc12.O=C(O)c1cccnc1F.[Na]>>Cc1cc(Cl)cc2c1c(=O)n(-c1cccc3cccnc13)c1ncccc21,reactant_grammar_only,HeteroAr–F + R–C(O)–NHR →,source_family_reactant_only,63.0,COND1:catalyst=373-02-4|reagent=497-19-8+7761-88-8|solvent=127-19-5,True,373-02-4,497-19-8|7761-88-8,127-19-5,,,,,,,,,,,,,,,,,"Organic Letters (2018), 20(22), 7216-7219",
1.1,31-172-CAS-21561239,10,review,incomplete_condition_identity,O=[N+]([O-])c1ccc(Cl)c2nonc12.CN(C)C(=O)[C@@H]1CCCN1>>CN(C)C(=O)[C@@H]1CCCN1c1ccc([N+](=O)[O-])c2nonc12,exact_product_reconstruction,Ar–Cl + R1R2–NH → Ar–NR1R2,exact_product,95.0,COND1:catalyst=unknown|reagent=584-08-7|solvent=109-99-9+7789-20-0,False,,584-08-7,109-99-9|7789-20-0,Ar–Cl,Ar,Cl,open,electron_poor,challenging_c_n_activation|coordination_risk,R1R2–NH,secondary_amine,1,Alkyl|Alkyl,free,,Ar–NR1R2,"{""bond_order"": ""single"", ""concise_label"": ""Ar–NR1R2"", ""connection_type"": ""C_N"", ""endpoint_1"": {""atom_index"": 6, ""component_index"": 0, ""context"": ""Ar"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom6:site0""}, ""endpoint_2"": {""atom_index"": 9, ""component_index"": 1, ""context"": ""N"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom9:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",amide|heteroaryl_nitrogen|nitro|tertiary_amine,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_n_coupling"", ""feature_version"": ""1.0"", ""flags"": [""electrophile:challenging_c_n_activation"", ""electrophile:coordination_risk""], ""partners"": [{""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–Cl"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [""heteroaryl_nitrogen"", ""tertiary_amine""], ""electronic"": {""class"": ""electron_poor"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.542}, ""features"": {}, ""flags"": [""challenging_c_n_activation"", ""coordination_risk""], ""handle_token"": ""Cl"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 2, ""group_id"": ""heteroaryl_nitrogen"", ""label"": ""HetAr–N"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""]}, {""distance"": 3, ""group_id"": ""heteroaryl_nitrogen"", ""label"": ""HetAr–N"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom6:site0"", ""spectator_group_ids"": [""heteroaryl_nitrogen"", ""nitro"", ""tertiary_amine""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 7, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""R1R2–NH"", ""competing_site_labels"": [], ""component_index"": 1, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""center_token"": ""N"", ""derived_family"": ""secondary_amine"", ""initial_h_count"": 1, ""retained_contexts"": [""Alkyl"", ""Alkyl""]}, ""flags"": [], ""handle_token"": ""N"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""secondary_amine"", ""label"": ""R2NH"", ""tags"": [""basic"", ""nucleophilic"", ""unprotected_XH"", ""metal_binding"", ""strong_metal_binding""]}, {""distance"": 2, ""group_id"": ""amide"", ""label"": ""CONR2"", ""tags"": [""metal_binding"", ""hydrogen_bond_acceptor""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom9:site0"", ""spectator_group_ids"": [""amide""], ""steric"": {""carbon_neighbor_count"": 2, ""class"": ""secondary"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Angewandte Chemie, International Edition (2020), 59(12), 4785-4792",
1.1,31-172-CAS-21640626,11,review,incomplete_condition_identity,COc1ccc2nc3cc(Cl)ccc3c(Cl)c2c1.O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCNCC1>>COc1ccc2nc3cc(Cl)ccc3c(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)c2c1,exact_product_reconstruction,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,exact_product,77.0,COND1:catalyst=unknown|reagent=unknown|solvent=108-95-2,False,,,108-95-2,HeteroAr–Cl,HeteroAr,Cl,open,neutral,challenging_c_n_activation|competing_reactive_handle|coordination_risk|heteroaryl_electrophile,R1R2–NH,secondary_amine,1,Alkyl|Alkyl,free,competing_reactive_handle|coordination_risk,HeteroAr–NR1R2,"{""bond_order"": ""single"", ""concise_label"": ""HeteroAr–NR1R2"", ""connection_type"": ""C_N"", ""endpoint_1"": {""atom_index"": 14, ""component_index"": 0, ""context"": ""HeteroAr"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom14:site1""}, ""endpoint_2"": {""atom_index"": 24, ""component_index"": 1, ""context"": ""N"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom24:site2""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",amide|aryl_halide|ether|heteroaryl_nitrogen,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_n_coupling"", ""feature_version"": ""1.0"", ""flags"": [""electrophile:challenging_c_n_activation"", ""electrophile:competing_reactive_handle"", ""electrophile:coordination_risk"", ""electrophile:heteroaryl_electrophile"", ""nucleophile:competing_reactive_handle"", ""nucleophile:coordination_risk""], ""partners"": [{""anchor_context"": ""HeteroAr"", ""chemist_label"": ""HeteroAr–Cl"", ""competing_site_labels"": [""Ar–Cl""], ""component_index"": 0, ""coordination_group_ids"": [""heteroaryl_nitrogen""], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.217}, ""features"": {}, ""flags"": [""challenging_c_n_activation"", ""competing_reactive_handle"", ""coordination_risk"", ""heteroaryl_electrophile""], ""handle_token"": ""Cl"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 3, ""group_id"": ""heteroaryl_nitrogen"", ""label"": ""HetAr–N"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom14:site1"", ""spectator_group_ids"": [""aryl_halide"", ""ether"", ""heteroaryl_nitrogen""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 8, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""R1R2–NH"", ""competing_site_labels"": [""AromN–H"", ""Ar–F""], ""component_index"": 1, ""coordination_group_ids"": [""heteroaryl_nitrogen""], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""center_token"": ""N"", ""derived_family"": ""secondary_amine"", ""initial_h_count"": 1, ""retained_contexts"": [""Alkyl"", ""Alkyl""]}, ""flags"": [""competing_reactive_handle"", ""coordination_risk""], ""handle_token"": ""N"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""secondary_amine"", ""label"": ""R2NH"", ""tags"": [""basic"", ""nucleophilic"", ""unprotected_XH"", ""metal_binding"", ""strong_metal_binding""]}, {""distance"": 3, ""group_id"": ""amide"", ""label"": ""CONR2"", ""tags"": [""metal_binding"", ""hydrogen_bond_acceptor""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom24:site2"", ""spectator_group_ids"": [""amide"", ""aryl_halide"", ""heteroaryl_nitrogen""], ""steric"": {""carbon_neighbor_count"": 2, ""class"": ""secondary"", ""local_heavy_atoms_r2"": 5, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Chinese Chemical Letters (2020), 31(2), 404-408",
1.1,31-172-CAS-21642314,12,review,incomplete_condition_identity,C1COCCN1.Cc1ccc(N)cc1-c1cc(F)nc(F)c1>>Cc1ccc(N)cc1-c1cc(F)nc(N2CCOCC2)c1,exact_product_reconstruction,HeteroAr–F + R1R2–NH → HeteroAr–NR1R2,exact_product,100.0,COND1:catalyst=unknown|reagent=584-08-7|solvent=67-68-5,False,,584-08-7,67-68-5,HeteroAr–F,HeteroAr,F,open,electron_poor,challenging_c_n_activation|competing_reactive_handle|coordination_risk|heteroaryl_electrophile,R1R2–NH,secondary_amine,1,Alkyl|Alkyl,free,,HeteroAr–NR1R2,"{""bond_order"": ""single"", ""concise_label"": ""HeteroAr–NR1R2"", ""connection_type"": ""C_N"", ""endpoint_1"": {""atom_index"": 10, ""component_index"": 1, ""context"": ""HeteroAr"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom10:site1""}, ""endpoint_2"": {""atom_index"": 5, ""component_index"": 0, ""context"": ""N"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom5:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",aryl_halide|ether|heteroaryl_nitrogen|primary_amine,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_n_coupling"", ""feature_version"": ""1.0"", ""flags"": [""electrophile:challenging_c_n_activation"", ""electrophile:competing_reactive_handle"", ""electrophile:coordination_risk"", ""electrophile:heteroaryl_electrophile""], ""partners"": [{""anchor_context"": ""HeteroAr"", ""chemist_label"": ""HeteroAr–F"", ""competing_site_labels"": [""Ar–NH2"", ""HeteroAr–F""], ""component_index"": 1, ""coordination_group_ids"": [""heteroaryl_nitrogen"", ""primary_amine""], ""electronic"": {""class"": ""electron_poor"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.65}, ""features"": {}, ""flags"": [""challenging_c_n_activation"", ""competing_reactive_handle"", ""coordination_risk"", ""heteroaryl_electrophile""], ""handle_token"": ""F"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 1, ""group_id"": ""heteroaryl_nitrogen"", ""label"": ""HetAr–N"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""]}, {""distance"": 2, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom10:site1"", ""spectator_group_ids"": [""aryl_halide"", ""heteroaryl_nitrogen"", ""primary_amine""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""R1R2–NH"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""center_token"": ""N"", ""derived_family"": ""secondary_amine"", ""initial_h_count"": 1, ""retained_contexts"": [""Alkyl"", ""Alkyl""]}, ""flags"": [], ""handle_token"": ""N"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""secondary_amine"", ""label"": ""R2NH"", ""tags"": [""basic"", ""nucleophilic"", ""unprotected_XH"", ""metal_binding"", ""strong_metal_binding""]}, {""distance"": 3, ""group_id"": ""ether"", ""label"": ""R–O–R"", ""tags"": [""hydrogen_bond_acceptor"", ""metal_binding""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom5:site0"", ""spectator_group_ids"": [""ether""], ""steric"": {""carbon_neighbor_count"": 2, ""class"": ""secondary"", ""local_heavy_atoms_r2"": 5, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Journal of Medicinal Chemistry (2020), 63(5), 2013-2027",alternative preparation shown
1.1,31-172-CAS-21822929,14,review,incomplete_condition_identity|missing_c_n_family_environment|missing_c_n_product_connection|not_verified_as_sp2_c_n|reaction_not_exactly_verified,CC(C)(C)OC(=O)NCCCCN.C=Cc1cc(Cl)nnc1Cl>>CC(C)(C)OC(=O)NCCCCN1CCc2cc(Cl)nnc21,reactant_grammar_only,(HeteroAr–Cl + RO–C(O)–NHR) OR (HeteroAr–Cl + R–NH2) →,source_family_ambiguous_reactants,81.0,COND1:catalyst=unknown|reagent=7087-68-5|solvent=123-91-1,False,,7087-68-5,123-91-1,,,,,,,,,,,,,,,,,"Journal of Organic Chemistry (2020), 85(9), 6123-6130",reaction in a sealed vial
1.1,31-172-CAS-21822932,15,review,incomplete_condition_identity|missing_c_n_family_environment|missing_c_n_product_connection|not_verified_as_sp2_c_n|reaction_not_exactly_verified,NCc1ccccn1.C=Cc1cc(Cl)nnc1Cl>>Clc1cc2c(nn1)N(Cc1ccccn1)CC2,reactant_grammar_only,HeteroAr–Cl + R–NH2 →,source_family_reactant_only,75.0,COND1:catalyst=unknown|reagent=7087-68-5|solvent=123-91-1,False,,7087-68-5,123-91-1,,,,,,,,,,,,,,,,,"Journal of Organic Chemistry (2020), 85(9), 6123-6130",reaction in a sealed vial
1.1,31-172-CAS-21856140,16,review,incomplete_condition_identity,c1ccc2[nH]ccc2c1.Fc1cc(F)c(F)c(F)c1F>>Fc1cc(F)c(F)c(-n2ccc3ccccc32)c1F,exact_product_reconstruction,Ar–F + AromN–H → Ar–AromN,exact_product,84.0,COND1:catalyst=unknown|reagent=1310-73-2+7732-18-5|solvent=68-12-2,False,,1310-73-2|7732-18-5,68-12-2,Ar–F,Ar,F,ortho_hindered,neutral,challenging_c_n_activation|competing_reactive_handle,AromN–H,aromatic_nh,1,HeteroAr,deactivated,aromatic_nh|deactivated_nucleophile,Ar–AromN,"{""bond_order"": ""single"", ""concise_label"": ""Ar–AromN"", ""connection_type"": ""C_N"", ""endpoint_1"": {""atom_index"": 7, ""component_index"": 1, ""context"": ""Ar"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom7:site3""}, ""endpoint_2"": {""atom_index"": 4, ""component_index"": 0, ""context"": ""N_aromatic"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom4:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",aryl_halide,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_n_coupling"", ""feature_version"": ""1.0"", ""flags"": [""electrophile:challenging_c_n_activation"", ""electrophile:competing_reactive_handle"", ""nucleophile:aromatic_nh"", ""nucleophile:deactivated_nucleophile""], ""partners"": [{""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–F"", ""competing_site_labels"": [""Ar–F""], ""component_index"": 1, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {}, ""flags"": [""challenging_c_n_activation"", ""competing_reactive_handle""], ""handle_token"": ""F"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 1, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 1, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 2, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 2, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom7:site3"", ""spectator_group_ids"": [""aryl_halide""], ""steric"": {""class"": ""ortho_hindered"", ""local_heavy_atoms_r2"": 8, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 2}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""AromN–H"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""deactivated"", ""center_token"": ""N_aromatic"", ""derived_family"": ""aromatic_nh"", ""initial_h_count"": 1, ""retained_contexts"": [""HeteroAr""]}, ""flags"": [""aromatic_nh"", ""deactivated_nucleophile""], ""handle_token"": ""N_aromatic"", ""nearby_groups"": [], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom4:site0"", ""spectator_group_ids"": [], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}]}","Journal of the American Chemical Society (2020), 142(16), 7487-7496",reaction in a Schlenk flask
1.1,31-172-CAS-22012873,18,review,incomplete_condition_identity,C1CNC1.Cl.CC(C)(C)OC(=O)NCCN1C(=O)c2cccc3c(Br)ccc(c23)C1=O>>CC(C)(C)OC(=O)NCCN1C(=O)c2cccc3c(N4CCC4)ccc(c23)C1=O,exact_product_reconstruction,Ar–Br + R1R2–NH → Ar–NR1R2,exact_product,94.0,COND1:catalyst=unknown|reagent=121-44-8|solvent=109-86-4,False,,121-44-8,109-86-4,Ar–Br,Ar,Br,open,neutral,competing_reactive_handle,R1R2–NH,secondary_amine,1,Alkyl|Alkyl,free,,Ar–NR1R2,"{""bond_order"": ""single"", ""concise_label"": ""Ar–NR1R2"", ""connection_type"": ""C_N"", ""endpoint_1"": {""atom_index"": 18, ""component_index"": 2, ""context"": ""Ar"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom18:site2""}, ""endpoint_2"": {""atom_index"": 2, ""component_index"": 0, ""context"": ""N"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom2:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",amide|ester,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_n_coupling"", ""feature_version"": ""1.0"", ""flags"": [""electrophile:competing_reactive_handle""], ""partners"": [{""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–Br"", ""competing_site_labels"": [""RO–C(O)–NHR""], ""component_index"": 2, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {}, ""flags"": [""competing_reactive_handle""], ""handle_token"": ""Br"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom18:site2"", ""spectator_group_ids"": [""amide"", ""ester""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 7, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""R1R2–NH"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""center_token"": ""N"", ""derived_family"": ""secondary_amine"", ""initial_h_count"": 1, ""retained_contexts"": [""Alkyl"", ""Alkyl""]}, ""flags"": [], ""handle_token"": ""N"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""secondary_amine"", ""label"": ""R2NH"", ""tags"": [""basic"", ""nucleophilic"", ""unprotected_XH"", ""metal_binding"", ""strong_metal_binding""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom2:site0"", ""spectator_group_ids"": [], ""steric"": {""carbon_neighbor_count"": 2, ""class"": ""secondary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Organic Letters (2020), 22(11), 4413-4417",
