name,smiles,role,reaction_types,notes,input_smiles,featurization_success,featurization_error,canonical_smiles,valid_smiles,motif_count,motifs,unique_motif_count,unique_motifs,grouped_motifs_json,ranked_motifs,analysis_count,aryl_analysis_json
Bromobenzene,Brc1ccccc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Ullmann; Sonogashira; Heck; Stille; Negishi; Kumada,Standard aryl bromide for all cross-coupling reactions,Brc1ccccc1,True,,Brc1ccccc1,True,1,Ar-Br,1,Ar-Br,"[{""compound_id"": ""Ar-Br"", ""count"": 1, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}]",Ar-Br,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Chlorobenzene,Clc1ccccc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Ullmann; Sonogashira; Heck,Less reactive; requires activated catalyst systems,Clc1ccccc1,True,,Clc1ccccc1,True,1,Ar-Cl,1,Ar-Cl,"[{""compound_id"": ""Ar-Cl"", ""count"": 1, ""rank_score"": 477.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}]",Ar-Cl,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Iodobenzene,Ic1ccccc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Heck; Stille; Negishi; Kumada,Most reactive aryl halide,Ic1ccccc1,True,,Ic1ccccc1,True,1,Ar-I,1,Ar-I,"[{""compound_id"": ""Ar-I"", ""count"": 1, ""rank_score"": 634.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}]",Ar-I,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Fluorobenzene,Fc1ccccc1,electrophile,SNAr,Requires strong nucleophiles for SNAr; not for standard cross-coupling,Fc1ccccc1,True,,Fc1ccccc1,True,1,Ar-F,1,Ar-F,"[{""compound_id"": ""Ar-F"", ""count"": 1, ""rank_score"": 426.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}]",Ar-F,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Bromobenzonitrile,Brc1ccc(C#N)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Electron-poor aryl bromide; more reactive,Brc1ccc(C#N)cc1,True,,N#Cc1ccc(Br)cc1,True,2,Ar-Br;Ar-CN,2,Ar-Br;Ar-CN,"[{""compound_id"": ""Ar-Br"", ""count"": 1, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""compound_id"": ""Ar-CN"", ""count"": 1, ""rank_score"": 372.0, ""sites"": [{""a_atom_idx"": 4, ""b_atom_idx"": 5, ""bond"": [4, 5]}], ""undocumented"": false}]",Ar-Br;Ar-CN,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Bromoanisole,Brc1ccc(OC)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Heck,Electron-rich aryl bromide; standard substrate,Brc1ccc(OC)cc1,True,,COc1ccc(Br)cc1,True,2,Ar-Br;Ar-OR,2,Ar-Br;Ar-OR,"[{""compound_id"": ""Ar-Br"", ""count"": 1, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-O*"", ""Alkyl-OR"", ""Ar-O*"", ""CH3-OR""], ""compound_id"": ""Ar-OR"", ""count"": 1, ""rank_score"": 280.0, ""sites"": [{""a_atom_idx"": 4, ""b_atom_idx"": 5, ""bond"": [4, 5]}], ""undocumented"": false}]",Ar-Br;Ar-OR,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; SNAr,Highly electron-poor; very reactive,Brc1ccc([N+](=O)[O-])cc1,True,,O=[N+]([O-])c1ccc(Br)cc1,True,2,Ar-Br;Ar-NO2,2,Ar-Br;Ar-NO2,"[{""compound_id"": ""Ar-Br"", ""count"": 1, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-N*"", ""Ar-NR2""], ""compound_id"": ""Ar-NO2"", ""count"": 1, ""rank_score"": 408.0, ""sites"": [{""a_atom_idx"": 4, ""b_atom_idx"": 5, ""bond"": [4, 5]}], ""undocumented"": false}]",Ar-Br;Ar-NO2,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Bromobenzotrifluoride,Brc1ccc(C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Electron-poor CF3 substituent,Brc1ccc(C(F)(F)F)cc1,True,,FC(F)(F)c1ccc(Br)cc1,True,2,Ar-Br;Ar-CF3,2,Ar-Br;Ar-CF3,"[{""compound_id"": ""Ar-Br"", ""count"": 1, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-F"", ""Ar-Alkyl""], ""compound_id"": ""Ar-CF3"", ""count"": 1, ""rank_score"": 237.0, ""sites"": [{""a_atom_idx"": 4, ""b_atom_idx"": 5, ""bond"": [4, 5]}], ""undocumented"": false}]",Ar-Br;Ar-CF3,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Multiple coupling sites; sp2_halide_site_count = 3,Brc1cc(Br)cc(Br)c1,True,,Brc1cc(Br)cc(Br)c1,True,3,Ar-Br;Ar-Br;Ar-Br,1,Ar-Br,"[{""compound_id"": ""Ar-Br"", ""count"": 3, ""rank_score"": 582.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}, {""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}, {""a_atom_idx"": 6, ""b_atom_idx"": 7, ""bond"": [6, 7]}], ""undocumented"": false}]",Ar-Br;Ar-Br;Ar-Br,3,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Di-functionalization substrate,Clc1ccc(Cl)cc1,True,,Clc1ccc(Cl)cc1,True,2,Ar-Cl;Ar-Cl,1,Ar-Cl,"[{""compound_id"": ""Ar-Cl"", ""count"": 2, ""rank_score"": 477.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}, {""a_atom_idx"": 4, ""b_atom_idx"": 5, ""bond"": [4, 5]}], ""undocumented"": false}]",Ar-Cl;Ar-Cl,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
