row,name,smiles,expected_role,expected_reaction_types,notes,valid,canonical_smiles,motif_count,context_motif_count,motifs,context_motifs,ranked_motifs,detected_role_simple,analysis_count,aryl_analysis,meta_error
1,Bromobenzene,Brc1ccccc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Ullmann; Sonogashira; Heck; Stille; Negishi; Kumada,Standard aryl bromide for all cross-coupling reactions,True,Brc1ccccc1,1,0,Ar-Br,,Ar-Br,electrophile,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
2,Chlorobenzene,Clc1ccccc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Ullmann; Sonogashira; Heck,Less reactive; requires activated catalyst systems,True,Clc1ccccc1,1,0,Ar-Cl,,Ar-Cl,electrophile,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
3,Iodobenzene,Ic1ccccc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Heck; Stille; Negishi; Kumada,Most reactive aryl halide,True,Ic1ccccc1,1,0,Ar-I,,Ar-I,electrophile,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
4,Fluorobenzene,Fc1ccccc1,electrophile,SNAr,Requires strong nucleophiles for SNAr; not for standard cross-coupling,True,Fc1ccccc1,1,0,Ar-F,,Ar-F,electrophile,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
5,4-Bromobenzonitrile,Brc1ccc(C#N)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Electron-poor aryl bromide; more reactive,True,N#Cc1ccc(Br)cc1,2,0,Ar-Br;Ar-CN,,Ar-Br;Ar-CN,electrophile,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
6,4-Bromoanisole,Brc1ccc(OC)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Heck,Electron-rich aryl bromide; standard substrate,True,COc1ccc(Br)cc1,2,0,Ar-Br;Ar-OR,,Ar-Br;Ar-OR,electrophile,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
7,4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; SNAr,Highly electron-poor; very reactive,True,O=[N+]([O-])c1ccc(Br)cc1,2,0,Ar-Br;Ar-NO2,,Ar-Br;Ar-NO2,electrophile,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
8,4-Bromobenzotrifluoride,Brc1ccc(C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Electron-poor CF3 substituent,True,FC(F)(F)c1ccc(Br)cc1,2,0,Ar-Br;Ar-CF3,,Ar-Br;Ar-CF3,electrophile,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
9,"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Multiple coupling sites; sp2_halide_site_count = 3,True,Brc1cc(Br)cc(Br)c1,3,0,Ar-Br;Ar-Br;Ar-Br,,Ar-Br;Ar-Br;Ar-Br,electrophile,3,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
10,"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Di-functionalization substrate,True,Clc1ccc(Cl)cc1,2,0,Ar-Cl;Ar-Cl,,Ar-Cl;Ar-Cl,electrophile,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}",
