schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,reaction_label,reaction_label_status,yield_pct,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,nucleophile_label,nucleophile_family,nucleophile_contexts,nucleophile_availability,nucleophile_flags,product_connection_label,product_connection_json,spectator_group_ids,family_environment_json,reference,notes
1.1,31-026-CAS-22255932,2,review,incomplete_condition_identity|missing_c_s_coupling_environment|missing_c_s_product_connection|not_verified_as_sp2_c_s_substitution|reaction_not_exactly_verified,Sc1ccccc1.[Na].Clc1nc(C(Cl)(Cl)Cl)ncc1-c1ccccc1>>c1ccc(Sc2nc(C(Sc3ccccc3)Sc3ccccc3)ncc2-c2ccccc2)cc1,reactant_grammar_only,HeteroAr–Cl + Ar–SH →,source_family_reactant_only,83.0,COND1:catalyst=unknown|reagent=7646-69-7|solvent=109-99-9,False,,7646-69-7,109-99-9,,,,,,,,,,,,,,,,"Synthesis (2019), 51(2), 530-537",
1.1,31-100-CAS-11729791,3,review,missing_c_s_coupling_environment|missing_c_s_product_connection|not_verified_as_sp2_c_s_substitution|reaction_not_exactly_verified,Sc1ccccc1.FC(F)(F)c1ccccc1I>>Oc1ccccc1Sc1ccccc1C(F)(F)F,reactant_grammar_only,Ar–I + Ar–SH →,source_family_reactant_only,76.0,COND1:catalyst=106129-86-6+7681-65-4|reagent=534-17-8+67-68-5+7647-14-5|solvent=67-68-5+7732-18-5,True,106129-86-6|7681-65-4,534-17-8|67-68-5|7647-14-5,67-68-5|7732-18-5,,,,,,,,,,,,,,,,"Journal of the American Chemical Society (2010), 132(44), 15531-15533",
1.1,31-111-CAS-22400241,4,review,missing_c_s_coupling_environment|missing_c_s_product_connection|not_verified_as_sp2_c_s_substitution|reaction_not_exactly_verified,COc1ccc(S)cc1.Ic1cccnc1>>c1ccc(Sc2cccnc2)cc1,reactant_grammar_only,HeteroAr–I + Ar–SH →,source_family_reactant_only,94.0,COND1:catalyst=280-57-9+7681-65-4|reagent=584-08-7|solvent=110-71-4,True,280-57-9|7681-65-4,584-08-7,110-71-4,,,,,,,,,,,,,,,,"Polyhedron (2020), 176114269",thermal
1.1,31-113-CAS-15199186,5,review,multiple_products,FC(F)(F)c1ccc(Cl)cc1.Sc1ccccc1>>FC(F)(F)c1ccccc1.FC(F)(F)c1ccc(Sc2ccccc2)cc1,exact_product_reconstruction,Ar–Cl + Ar–SH → Ar–S–Ar,exact_product,3.0,COND1:catalyst=1023743-21-6|reagent=865-48-5|solvent=108-88-3,True,1023743-21-6,865-48-5,108-88-3,Ar–Cl,Ar,Cl,open,neutral,challenging_heteroatom_activation,Ar–SH,thiophenol,Ar,free,sulfur_coordination_risk,Ar–S–Ar,"{""bond_order"": ""single"", ""concise_label"": ""Ar–S–Ar"", ""connection_type"": ""C_S"", ""endpoint_1"": {""atom_index"": 7, ""component_index"": 0, ""context"": ""Ar"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom7:site0""}, ""endpoint_2"": {""atom_index"": 0, ""component_index"": 1, ""context"": ""S"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom0:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_s_coupling"", ""feature_version"": ""1.0"", ""flags"": [""electrophile:challenging_heteroatom_activation"", ""nucleophile:sulfur_coordination_risk""], ""partners"": [{""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–Cl"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {}, ""flags"": [""challenging_heteroatom_activation""], ""handle_token"": ""Cl"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom7:site0"", ""spectator_group_ids"": [], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""Ar–SH"", ""competing_site_labels"": [], ""component_index"": 1, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""derived_family"": ""thiophenol"", ""element"": ""S"", ""initial_h_count"": 1, ""retained_contexts"": [""Ar""]}, ""flags"": [""sulfur_coordination_risk""], ""handle_token"": ""S"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""thiol"", ""label"": ""R–SH"", ""tags"": [""acidic"", ""nucleophilic"", ""unprotected_XH"", ""metal_binding"", ""palladium_poisoning"", ""oxidation_sensitive""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom0:site0"", ""spectator_group_ids"": [], ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Journal of the American Chemical Society (2014), 136(42), 14772-14779","alternative preparation shown, scalable, screw-cap vial used"
1.1,31-144-CAS-11274147,6,review,incomplete_condition_identity|missing_c_s_coupling_environment|missing_c_s_product_connection|multiple_products|not_verified_as_sp2_c_s_substitution|reaction_not_exactly_verified,OCCCS.O=C(O)N1CCN(C(=O)c2cc(F)c(F)cc2[N+](=O)[O-])CC1.NCc1ccncc1.O=C(O)C(F)(F)F>>O=C(O)C(F)(F)F.O=C(c1cc(S(=O)(=O)CCCO)c(NCc2ccncc2)cc1[N+](=O)[O-])N1CCNCC1,reactant_grammar_only,Ar–F + R–SH →,source_family_reactant_only,70.0,COND1:catalyst=unknown|reagent=937-14-4|solvent=75-09-2+872-50-4,False,,937-14-4,75-09-2|872-50-4,,,,,,,,,,,,,,,,"European Journal of Organic Chemistry (2001), (17), 3233-3246",attachment to Wang resin in first 3 stages
1.1,31-144-CAS-16190519,7,review,incomplete_condition_identity|missing_c_s_coupling_environment|missing_c_s_product_connection|not_verified_as_sp2_c_s_substitution|reaction_not_exactly_verified,Sc1cccc(Br)c1.Fc1cccc2ccc(Cl)nc12>>O=S(=O)(c1cccc(Br)c1)c1ccc2cccc(F)c2n1,reactant_grammar_only,(Ar–F + Ar–SH) OR (HeteroAr–Cl + Ar–SH) →,source_family_ambiguous_reactants,72.0,COND1:catalyst=unknown|reagent=584-08-7+937-14-4|solvent=68-12-2+75-09-2,False,,584-08-7|937-14-4,68-12-2|75-09-2,,,,,,,,,,,,,,,,"European Journal of Medicinal Chemistry (2016), 12292-101",
1.1,31-144-CAS-19321213,8,review,incomplete_condition_identity|missing_c_s_coupling_environment|missing_c_s_product_connection|not_verified_as_sp2_c_s_substitution|reaction_not_exactly_verified,Sc1ccc2ccccc2c1.Clc1ccc2ccccc2n1>>O=S(=O)(c1ccc2ccccc2c1)c1ccc2ccccc2n1,reactant_grammar_only,HeteroAr–Cl + Ar–SH →,source_family_reactant_only,90.0,COND1:catalyst=unknown|reagent=10022-70-5+1112-67-0|solvent=75-09-2+7732-18-5,False,,10022-70-5|1112-67-0,75-09-2|7732-18-5,,,,,,,,,,,,,,,,"Organic Letters (2018), 20(20), 6601-6605",
1.1,31-144-CAS-3760133,9,review,incomplete_condition_identity|missing_c_s_coupling_environment|missing_c_s_product_connection|not_verified_as_sp2_c_s_substitution|reaction_not_exactly_verified,CS.[Na].COC(=O)C(CC1CCCC1)c1ccc(Cl)c([N+](=O)[O-])c1>>COC(=O)C(CC1CCCC1)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1,reactant_grammar_only,Ar–Cl + R–SH →,source_family_reactant_only,84.0,COND1:catalyst=unknown|reagent=unknown|solvent=67-68-5,False,,,67-68-5,,,,,,,,,,,,,,,,"Journal of Medicinal Chemistry (2012), 55(16), 7021-7036",
1.1,31-170-CAS-24162234,10,review,incomplete_condition_identity|missing_c_s_coupling_environment|missing_c_s_product_connection|not_verified_as_sp2_c_s_substitution|reaction_not_exactly_verified,Oc1ccccc1S.N#Cc1cc(Cl)c(Cl)cc1C#N>>N#Cc1cc2c(cc1C#N)Sc1ccccc1O2,reactant_grammar_only,Ar–Cl + Ar–SH →,source_family_reactant_only,98.0,COND1:catalyst=unknown|reagent=584-08-7+7732-18-5|solvent=68-12-2,False,,584-08-7|7732-18-5,68-12-2,,,,,,,,,,,,,,,,"Chemistry - An Asian Journal (2021), 16(16), 2307-2313",reaction conducted in presence of air
1.1,31-171-CAS-10019803,11,review,incomplete_condition_identity,SCc1ccccc1.N#Cc1ccc(Br)cc1>>N#Cc1ccc(SCc2ccccc2)cc1,exact_product_reconstruction,Ar–Br + R–SH → Ar–S–R,exact_product,80.0,COND1:catalyst=unknown|reagent=1310-58-3|solvent=64-17-5+75-05-8+7732-18-5,False,,1310-58-3,64-17-5|75-05-8|7732-18-5,Ar–Br,Ar,Br,open,neutral,,R–SH,thiol,Alkyl,free,sulfur_coordination_risk,Ar–S–R,"{""bond_order"": ""single"", ""concise_label"": ""Ar–S–R"", ""connection_type"": ""C_S"", ""endpoint_1"": {""atom_index"": 5, ""component_index"": 1, ""context"": ""Ar"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom5:site0""}, ""endpoint_2"": {""atom_index"": 0, ""component_index"": 0, ""context"": ""S"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom0:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",nitrile,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_s_coupling"", ""feature_version"": ""1.0"", ""flags"": [""nucleophile:sulfur_coordination_risk""], ""partners"": [{""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–Br"", ""competing_site_labels"": [], ""component_index"": 1, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {}, ""flags"": [], ""handle_token"": ""Br"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom5:site0"", ""spectator_group_ids"": [""nitrile""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""R–SH"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""derived_family"": ""thiol"", ""element"": ""S"", ""initial_h_count"": 1, ""retained_contexts"": [""Alkyl""]}, ""flags"": [""sulfur_coordination_risk""], ""handle_token"": ""S"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""thiol"", ""label"": ""R–SH"", ""tags"": [""acidic"", ""nucleophilic"", ""unprotected_XH"", ""metal_binding"", ""palladium_poisoning"", ""oxidation_sensitive""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom0:site0"", ""spectator_group_ids"": [], ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 3, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Journal of Physical Chemistry A (2006), 110(32), 9949-9958",
