name,aliases,roles,mention_count,source_columns,reconciliation_status,normalized_identity,possible_cas_no,cas_match_status,cas_confidence,source_basis,source_url,match_notes,cas_checksum_valid
"1,3-Bis(2,4,6-trimethylphenyl)imidazolinium chloride","1,3-Bis(2,4,6-trimethylphenyl)imidazolinium chloride",ligand,51,Ligand,unresolved,"1,3-Bis(2,4,6-trimethylphenyl)imidazolinium chloride (SIMes·HCl)",173035-10-4,exact_name_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_173035-10-4.htm,,yes
"2-[(2,2-Dibenzylhydrazono)methyl]pyridine","2-[(2,2-Dibenzylhydrazono)methyl]pyridine",ligand,4,Ligand,unresolved,"2-[(2,2-Dibenzylhydrazono)methyl]pyridine",,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
"2,6-di(1H-pyrazol-1-yl)pyridine","2,6-di(1H-pyrazol-1-yl)pyridine",ligand,24,Ligand,unresolved,"2,6-Di(1-pyrazolyl)pyridine",123640-38-0,exact_name_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_123640-38-0.htm,,yes
2-Isobutyrylcyclohexanone,2-Isobutyrylcyclohexanone,ligand,59,Ligand,unresolved,2-Isobutyrylcyclohexanone,39207-65-3,exact_name_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_39207-65-3.htm,,yes
2-mphen,2-mphen,ligand,20,Ligand,unresolved,"2-Methyl-1,10-phenanthroline",3002-77-5,likely_abbreviation,high,supplier catalog abbreviation/name match,https://www.tcichemicals.com/OP/en/p/M2512,"Interpreted “2-mphen” as 2-methyl-1,10-phenanthroline.",yes
"(4,4-dtbbpy)NiCl2","(4,4-dtbbpy)NiCl2",catalyst,128,Catalyst,unresolved,"Dichloro(4,4′-di-tert-butyl-2,2′-bipyridine)nickel(II)",1034901-50-2,commercial_product_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_1034901-50-2.htm,,yes
"4,7-(MeO)2-Phen","4,7-(MeO)2-Phen",ligand,59,Ligand,unresolved,"4,7-Dimethoxy-1,10-phenanthroline",92149-07-0,likely_abbreviation,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_92149-07-0.htm,,yes
4-Nitrophenyl chloroformate,4-Nitrophenyl chloroformate,coupling_reagent,16,Coupling Reagent,unresolved,4-Nitrophenyl chloroformate,7693-46-1,exact_name_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=7693-46-1,,yes
4-OMe-thiophenol,4-OMe-thiophenol,additive,16,Additive,unresolved,4-Methoxythiophenol,696-63-9,likely_abbreviation,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=696-63-9,,yes
44′-Dimethoxy-22′-bipyridyl,44′-Dimethoxy-22′-bipyridyl,ligand,62,Ligand,unresolved,"4,4′-Dimethoxy-2,2′-bipyridine",17217-57-1,normalized_typographic_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_17217-57-1.htm,Prime marks and locants were normalized.,yes
AcOiBu,AcOiBu,solvent,6,Solvent,unresolved,Isobutyl acetate,110-19-0,likely_abbreviation,medium,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=110-19-0,AcOiBu was interpreted as isobutyl acetate.,yes
Ad-BippyPhos,Ad-BippyPhos,ligand,36,Ligand,unresolved,Ad-BippyPhos,1239478-87-5,commercial_product_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_1239478-87-5.htm,,yes
AdBrettPhosPd G6 Br,AdBrettPhosPd G6 Br,catalyst,626,Catalyst,unresolved,AdBrettPhos Pd G6 bromide,3031171-47-5,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_3031171-47-5.htm,,yes
ADDP,ADDP,coupling_reagent,12,Coupling Reagent,unresolved,"1,1'-(Azodicarbonyl)dipiperidine",10465-81-3,likely_abbreviation,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=10465-81-3,,yes
AgOAc,AgOAc,base,72,Base,unresolved,Silver acetate,563-63-3,formula_or_abbreviation_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=563-63-3,,yes
AgOTf,AgOTf,additive,36,Additive,unresolved,Silver trifluoromethanesulfonate,2923-28-6,formula_or_abbreviation_match,high,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=2923-28-6,,yes
AlphosPd)2cod,AlphosPd)2cod,catalyst,1007,Catalyst,unresolved,AlphosPd)2cod,,unresolved,low,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",not_applicable
AlPhosPd G6 Br,AlPhosPd G6 Br,catalyst,812,Catalyst,unresolved,AlPhos Pd G6 bromide,2097600-15-0,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_2097600-15-0.htm,,yes
AmPhos,AmPhos,ligand,2644,Ligand,unresolved,AmPhos,932710-63-9,commercial_product_match,high,supplier/registry name match,https://www.chemicalbook.com/CASEN_932710-63-9.htm,,yes
AmPhos Pd(crotyl)Cl,AmPhos Pd(crotyl)Cl,catalyst,1339,Catalyst,unresolved,AmPhos palladium crotyl chloride precatalyst,1334497-06-1,commercial_product_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_1334497-06-1.htm,,yes
AmPhos2PdCl2,AmPhos2PdCl2,catalyst,1305,Catalyst,unresolved,Bis(AmPhos)palladium(II) dichloride,887919-35-9,normalized_name_match,high,supplier catalog match,https://www.chemicalbook.com/CASEN_887919-35-9.htm,,yes
