name,aliases,roles,mention_count,normalized_identity,possible_cas_no,cas_match_status,cas_confidence,cas_checksum_status,registry_status_before,registry_substance_id,registry_canonical_name,lookup_status,lookup_canonical_name,identity_match_method,identity_match_score,decision,decision_reason,aliases_added_or_planned,source_basis,source_url,match_notes,lookup_sources,lookup_warnings
"2-[(2,2-Dibenzylhydrazono)methyl]pyridine","2-[(2,2-Dibenzylhydrazono)methyl]pyridine",ligand,4,"2-[(2,2-Dibenzylhydrazono)methyl]pyridine",,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
AdBrettPhosPd G6 Br,AdBrettPhosPd G6 Br,catalyst,626,AdBrettPhos Pd G6 bromide,3031171-47-5,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_3031171-47-5.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
AlphosPd)2cod,AlphosPd)2cod,catalyst,1007,AlphosPd)2cod,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
AlPhosPd G6 Br,AlPhosPd G6 Br,catalyst,812,AlPhos Pd G6 bromide,2097600-15-0,commercial_product_match,high,valid,unresolved,,,resolved,AlPhos,exact_normalized_name,1.0000,review,STRUCTURE_ELEMENT_CONTRADICTION:EXPECTED_Pd,,supplier catalog match,https://www.chemicalbook.com/CASEN_2097600-15-0.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2097600-15-0/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2097600-15-0/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/121237782",MULTIPLE_PUBCHEM_COMPOUNDS_FIRST_SELECTED | PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
AmPhos Pd(crotyl)Cl,AmPhos Pd(crotyl)Cl,catalyst,1339,AmPhos palladium crotyl chloride precatalyst,1334497-06-1,commercial_product_match,high,valid,unresolved,,,resolved,Chloro(crotyl)[di-tert-butyl(4-dimethylaminophenyl)phosphine]palladium(II),normalized_name_similarity,0.3883,review,IDENTITY_NOT_CORROBORATED:0.3883<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1334497-06-1.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1334497-06-1/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1334497-06-1/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/145708090",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
APhos Pd G3,APhos Pd G3,catalyst,30,APhos Pd G3,1820817-64-8,commercial_product_match,high,valid,unresolved,,,resolved,"4-(di-tert-butylphosphanyl)-N,N-dimethylaniline; (2-(2-aminophenyl)phenyl)palladio methanesulfonate",normalized_name_similarity,0.1333,review,IDENTITY_NOT_CORROBORATED:0.1333<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1820817-64-8.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1820817-64-8/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/117065005",PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
BHMPO,BHMPO,ligand,153,BHMPO ligand,1809288-95-6,commercial_product_match,medium,valid,resolved,cas:1809288-95-6,"N,N'-bis(4-hydroxy-2,6-dimethylphenyl)ethanediamide",resolved,"N,N'-bis(4-hydroxy-2,6-dimethylphenyl)ethanediamide",normalized_name_similarity,0.3137,review,IDENTITY_NOT_CORROBORATED:0.3137<0.82,,supplier catalog match,https://www.chemicalbook.com/CASEN_1809288-95-6.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1809288-95-6/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1809288-95-6/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/126500385",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
Bis-biphenylamino benzene,Bis-biphenylamino benzene,ligand,24,Bis-biphenylamino benzene,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
BMPO,BMPO,ligand,12,BMPO,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
BPMPO,BPMPO,ligand,81,BPMPO ligand,1809289-04-0,commercial_product_match,medium,valid,unresolved,,,resolved,"N1,N2-Bis(5-methyl-[1,1'-biphenyl]-2-yl)oxalamide",normalized_name_similarity,0.3556,review,IDENTITY_NOT_CORROBORATED:0.3556<0.82,,supplier catalog match,https://www.chemicalbook.com/CASEN_1809289-04-0.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1809289-04-0/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1809289-04-0/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/122387459",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
