case_id,partition,smiles,canonical_smiles,detected_groups,detected_group_labels,detected_sites,detected_site_labels,detected_environments,reviewer_id,reactive_sites_correct,functional_groups_correct,steric_correct,electronic_context_correct,missing_features,incorrect_features,comments
primary_methylamine,development,CN,CN,primary_amine (1),R–NH2 (1),XH|N|H2|Alkyl (1),R–NH2 (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""primary_amine""}], ""site_signature"": ""XH|N|H2|Alkyl"", ""steric"": {""attached_groups"": [{""alpha_branched"": false, ""alpha_carbon_neighbor_count"": 0, ""attachment_atom_index"": 0, ""attachment_carbon_class"": ""methyl"", ""beta_branch_count"": 0, ""context"": ""Alkyl"", ""element"": ""C""}], ""carbon_neighbor_count"": 1, ""center_substitution_class"": ""primary"", ""class"": ""primary"", ""local_heavy_atoms_r2"": 2, ""method"": ""graph_local_v1""}}]",,,,,,,,
secondary_dimethylamine,validation,CNC,CNC,secondary_amine (1),R2NH (1),"XH|N|H1|Alkyl,Alkyl (1)",R1R2–NH (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""secondary_amine""}], ""site_signature"": ""XH|N|H1|Alkyl,Alkyl"", ""steric"": {""attached_groups"": [{""alpha_branched"": false, ""alpha_carbon_neighbor_count"": 0, ""attachment_atom_index"": 0, ""attachment_carbon_class"": ""methyl"", ""beta_branch_count"": 0, ""context"": ""Alkyl"", ""element"": ""C""}, {""alpha_branched"": false, ""alpha_carbon_neighbor_count"": 0, ""attachment_atom_index"": 2, ""attachment_carbon_class"": ""methyl"", ""beta_branch_count"": 0, ""context"": ""Alkyl"", ""element"": ""C""}], ""carbon_neighbor_count"": 2, ""center_substitution_class"": ""secondary"", ""class"": ""secondary"", ""local_heavy_atoms_r2"": 3, ""method"": ""graph_local_v1""}}]",,,,,,,,
primary_tert_butylamine,test,CC(C)(C)N,CC(C)(C)N,primary_amine (1),R–NH2 (1),XH|N|H2|Alkyl (1),R–NH2 (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""primary_amine""}], ""site_signature"": ""XH|N|H2|Alkyl"", ""steric"": {""attached_groups"": [{""alpha_branched"": true, ""alpha_carbon_neighbor_count"": 3, ""attachment_atom_index"": 1, ""attachment_carbon_class"": ""tertiary"", ""beta_branch_count"": 0, ""context"": ""Alkyl"", ""element"": ""C""}], ""carbon_neighbor_count"": 1, ""center_substitution_class"": ""primary"", ""class"": ""primary"", ""local_heavy_atoms_r2"": 5, ""method"": ""graph_local_v1""}}]",,,,,,,,
primary_aniline,development,Nc1ccccc1,Nc1ccccc1,primary_amine (1),R–NH2 (1),CH|ArH (5); XH|N|H2|Ar (1),Ar–H (5); Ar–NH2 (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""primary_amine""}], ""site_signature"": ""XH|N|H2|Ar"", ""steric"": {""attached_groups"": [{""attachment_atom_index"": 1, ""context"": ""Ar"", ""element"": ""C""}], ""carbon_neighbor_count"": 1, ""center_substitution_class"": ""primary"", ""class"": ""primary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}}]",,,,,,,,
benzyl_chloride,development,ClCc1ccccc1,ClCc1ccccc1,,,CH|ArH (5); LG|Alkyl|Cl (1),Ar–H (5); Benzyl–Cl (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [], ""site_signature"": ""LG|Alkyl|Cl"", ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 5, ""method"": ""graph_local_v1""}}]",,,,,,,,
aryl_bromide_with_nitrile,test,Brc1ccc(C#N)cc1,N#Cc1ccc(Br)cc1,aryl_halide (1); nitrile (1),Ar–X (1); C≡N (1),CH|ArH (4); LG|Ar|Br (1),Ar–Br (1); Ar–H (4),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide""}], ""site_signature"": ""LG|Ar|Br"", ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}}]",,,,,,,,
heteroaryl_chloride,validation,Clc1ncccc1,Clc1ccccn1,aryl_halide (1); heteroaryl_nitrogen (1),Ar–X (1); HetAr–N (1),CH|HetArH (4); LG|HeteroAr|Cl (1),HeteroAr–Cl (1); HeteroAr–H (4),"[{""electronic"": {""class"": ""electron_poor"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.65}, ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide""}, {""distance"": 1, ""group_id"": ""heteroaryl_nitrogen""}], ""site_signature"": ""LG|HeteroAr|Cl"", ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}}]",,,,,,,,
aryl_boronic_acid,development,OB(O)c1ccccc1,OB(O)c1ccccc1,,,CH|ArH (5); TM|Ar|B(OH)2 (1),Ar–B(OH)2 (1); Ar–H (5),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [], ""site_signature"": ""TM|Ar|B(OH)2"", ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 8, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}}]",,,,,,,,
aryl_bpin,validation,CC1(C)OB(c2ccccc2)OC1(C)C,CC1(C)OB(c2ccccc2)OC1(C)C,ether (2),R–O–R (2),CH|ArH (5); TM|Ar|BPin (1),Ar–BPin (1); Ar–H (5),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [{""distance"": 2, ""group_id"": ""ether""}, {""distance"": 2, ""group_id"": ""ether""}], ""site_signature"": ""TM|Ar|BPin"", ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 8, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}}]",,,,,,,,
acetyl_chloride,validation,CC(=O)Cl,CC(=O)Cl,,,EC|Acyl|Alkyl|Cl|activated (1),R–C(O)Cl (1),"[{""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""nearby_groups"": [], ""site_signature"": ""EC|Acyl|Alkyl|Cl|activated"", ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}}]",,,,,,,,
