Level1 Level2 Level3=SMARTS_RX SMARTS_RX_SMARTS
Thioacid Thioacid_Aliphatic Thioacid_SaturatedAliphatic [S,O;D1;$(SC(=[S,O])[#6]),$(OC(=S)[#6]);$([!$(**C=C);!$(**C#C);!$(**C#N);!$(**a)])]
Thioacid Thioacid_Aliphatic Thioacid_UnsaturatedAliphatic [S,O;D1;$(SC(=[S,O])[#6]),$(OC(=S)[#6]);$([$(**C=C),$(**C#C),$(**C#N);!$(**a)])]
Thioacid Thioacid_Aromatic Thioacid_Aromatic [S,O;D1;$(SC(=[S,O])[#6]),$(OC(=S)[#6]);$([$(**[c;$(c1ccccc1)])])]
Thioacid Thioacid_Heteroaromatic Thioacid_Heteroaromatic [S,O;D1;$(SC(=[S,O])[#6]),$(OC(=S)[#6]);$([$(**[a;$(a1aaaaa1)]),$(**[a;$(a1aaaa1)]);!$(**[c;$(c1ccccc1)])])]
Acid Acid_Aliphatic Acid_SaturatedAliphatic [O;D1;!$(OC(=O)[N,O,S]);$(O[C;D2,D3;$(C(=O));!$(CC=,#C);!$(CC#N);!$(Ca)])]
Acid Acid_Aliphatic Acid_UnsaturatedAliphatic [O;D1;$([$(OC(=O)C=C),$(OC(=O)C#C),$(OC(=O)C#N)])]
Acid Acid_Aromatic Acid_Aromatic [O;D1;$(OC(=O)[c;$(c1ccccc1)])]
Acid Acid_Heteroaromatic Acid_Heteroaromatic [O;D1;$(OC(=O)[c;$(a1aaaaa1),$(a1aaaa1);!$(c1ccccc1)])]
Acid Acid_Carbamic Acid_Carbamic [O;D1;$(O[C;D3;$(C(=O))]N)]
Thioacid Thioacid_Carbamic Thioacid_Carbamic [S,O;D1;$(SC(=[S,O])N),$(OC(=[S])N)]
Acid Acid_Carbonic Acid_Carbonic [O;D1;$(O[C;D3;$(C(=O))]O)]
Thioacid Thioacid_Carbonic Thioacid_Carbonic [S,O;D1;$(SC(=[S,O])O),$(OC(=[S])O)]
Acid Acid_Thiocarbonic Acid_Thiocarbonic [O;D1;$(O[C;D3;$(C(=O))]S)]
Thioacid Thioacid_Thiocarbonic Thioacid_Thiocarbonic [S,O;D1;$(SC(=[S,O])S),$(OC(=[S])S)]
AcidX Xformamide Xformamide [*;F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F);$(*C(=O)[N;$([N;D3]([#6])[#6]),$([N;D2][#6]),$([N;D1])])]
AcidX XThioformate XThioformate [O,S;$(OC(=S)[F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)]),$(SC(=O)[F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)])]
AcidX XFormate XFormate [O;$(OC(=O)[F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)])]
AcidX AcidX_Aliphatic AcidX-Fluoride_SaturatedAliphatic [F;$([F][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([!$(**C=C);!$(**C#C);!$(**C#N);!$(**a)])]
AcidX AcidX_Aliphatic AcidX-Chloride_SaturatedAliphatic [Cl;$([Cl][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([!$(**C=C);!$(**C#C);!$(**C#N);!$(**a)])]
AcidX AcidX_Aliphatic AcidX-Bromide_SaturatedAliphatic [Br;$([Br][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([!$(**C=C);!$(**C#C);!$(**C#N);!$(**a)])]
AcidX AcidX_Aliphatic AcidX-Iodide_SaturatedAliphatic [I;$([I][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([!$(**C=C);!$(**C#C);!$(**C#N);!$(**a)])]
AcidX AcidX_Aliphatic AcidX-Triflate_SaturatedAliphatic [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([!$(**C=C);!$(**C#C);!$(**C#N);!$(**a)])]
AcidX AcidX_Aliphatic AcidX-Fluoride_UnsaturatedAliphatic [F;$([F][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**C=C),$(**C#C),$(**C#N);!$(**a)])]
AcidX AcidX_Aliphatic AcidX-Chloride_UnsaturatedAliphatic [Cl;$([Cl][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**C=C),$(**C#C),$(**C#N);!$(**a)])]
AcidX AcidX_Aliphatic AcidX-Bromide_UnsaturatedAliphatic [Br;$([Br][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**C=C),$(**C#C),$(**C#N);!$(**a)])]
AcidX AcidX_Aliphatic AcidX-Iodide_UnsaturatedAliphatic [I;$([I][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**C=C),$(**C#C),$(**C#N);!$(**a)])]
AcidX AcidX_Aliphatic AcidX-Triflate_UnsaturatedAliphatic [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**C=C),$(**C#C),$(**C#N);!$(**a)])]
AcidX AcidX_Aromatic AcidX-Fluoride_Aromatic [F;$([F][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**[c;$(c1ccccc1)])])]
AcidX AcidX_Aromatic AcidX-Chloride_Aromatic [Cl;$([Cl][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**[c;$(c1ccccc1)])])]
AcidX AcidX_Aromatic AcidX-Bromide_Aromatic [Br;$([Br][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**[c;$(c1ccccc1)])])]
AcidX AcidX_Aromatic AcidX-Iodide_Aromatic [I;$([I][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**[c;$(c1ccccc1)])])]
AcidX AcidX_Aromatic AcidX-Triflate_Aromatic [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**[c;$(c1ccccc1)])])]
AcidX AcidX_Heteroaromatic AcidX-Fluoride_Heteroaromatic [F;$([F][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**[a;$(a1aaaaa1)]),$(**[a;$(a1aaaa1)]);!$(**[c;$(c1ccccc1)])])]
AcidX AcidX_Heteroaromatic AcidX-Chloride_Heteroaromatic [Cl;$([Cl][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**[a;$(a1aaaaa1)]),$(**[a;$(a1aaaa1)]);!$(**[c;$(c1ccccc1)])])]
AcidX AcidX_Heteroaromatic AcidX-Bromide_Heteroaromatic [Br;$([Br][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**[a;$(a1aaaaa1)]),$(**[a;$(a1aaaa1)]);!$(**[c;$(c1ccccc1)])])]
AcidX AcidX_Heteroaromatic AcidX-Iodide_Heteroaromatic [I;$([I][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**[a;$(a1aaaaa1)]),$(**[a;$(a1aaaa1)]);!$(**[c;$(c1ccccc1)])])]
AcidX AcidX_Heteroaromatic AcidX-Triflate_Heteroaromatic [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][C;$(C(=O));!$(C([#7,#8,#15,#16])(=[O;D1])[#9,#17,#35,#53])]);$([$(**[a;$(a1aaaaa1)]),$(**[a;$(a1aaaa1)]);!$(**[c;$(c1ccccc1)])])]
Anhydride Anhydride Anhydride [O;!R;$(O(C(=O)[#6])C(=O)[#6]);!$(OC(C)(C)C)]
XKetone XKetoneAromaticFluoride XKetoneAromaticFluoride [C;$(C([#6;a])(=O)C[F])]
XKetone XKetoneAromaticChloride XKetoneAromaticChloride [C;$(C([#6;a])(=O)C[Cl])]
XKetone XKetoneAromaticBromide XKetoneAromaticBromide [C;$(C([#6;a])(=O)C[Br])]
XKetone XKetoneAromaticIodide XKetoneAromaticIodide [C;$(C([#6;a])(=O)C[I])]
XKetone XKetoneAromaticTriflate XKetoneAromaticTriflate [C;$(C([#6;a])(=O)C[*;$(OS(=O)(=O)C(F)(F)F)])]
XKetone XKetoneAliphaticFluoride XKetoneAliphaticFluoride [C;$(C(C)(=O)C[F])]
XKetone XKetoneAliphaticChloride XKetoneAliphaticChloride [C;$(C(C)(=O)C[Cl])]
XKetone XKetoneAliphaticBromide XKetoneAliphaticBromide [C;$(C(C)(=O)C[Br])]
XKetone XKetoneAliphaticIodide XKetoneAliphaticIodide [C;$(C(C)(=O)C[I])]
