rule_id,status,rule_kind,match_summary,recipe_variant_id,catalyst,ligand,base,solvent,other_conditions,stoichiometry,process_conditions,rationale,definition_notes,source,review_decision,reviewer,review_date,review_notes,proposed_change
pd_sp2_cn.free_amine.hindered_ar_cl.v1,draft,structural override,"sp2_c_n_substitution; electrophile: leaving_group, Ar, HeteroAr, Cl, ortho_hindered, ortho >= 2; nucleophile: pronucleophile_XH, N, primary_amine, secondary_amine, free, H >= 1",ad_brettphos_pd_naotbu_dioxane.v1,AdBrettPhos Pd G3 (4 mol%),,Sodium tert-butoxide (2 equiv),"1,4-Dioxane",,electrophile 1 equiv | nucleophile 1.2-1.5 equiv,110 C | 24 h | 0.15 M | N2,A highly ortho-hindered aryl chloride requires a deliberately forcing palladium starter protocol rather than the free-amine default.,"Caution: Combined aryl-chloride and severe steric demand is a screening starting point, not a validated universal procedure. | Template: Combined aryl-chloride and severe-steric-demand screening override; primary-procedure review is required before activation.",,,,,,
pd_sp2_cn.free_amine.ar_cl.v1,draft,structural override,"sp2_c_n_substitution; electrophile: leaving_group, Ar, HeteroAr, Cl; nucleophile: pronucleophile_XH, N, primary_amine, secondary_amine, free, H >= 1",ad_brettphos_pd_naotbu_dioxane.v1,AdBrettPhos Pd G3 (2 mol%),,Sodium tert-butoxide (1.5 equiv),"1,4-Dioxane",,electrophile 1 equiv | nucleophile 1.1-1.2 equiv,100 C | 16 h | 0.2 M | N2,Aryl and heteroaryl chlorides receive a more activation-capable free-amine protocol than the aryl-bromide default.,Caution: Electron-poor heteroaryl chlorides may also support SNAr; this rule proposes a palladium regime without asserting mechanism. | Template: Aryl-chloride activation screening override for free amines; primary-procedure review is required before activation.,,,,,,
pd_sp2_cn.free_amine.hindered_ar_br.v1,draft,structural override,"sp2_c_n_substitution; electrophile: leaving_group, Ar, HeteroAr, Br, ortho_hindered, ortho >= 2; nucleophile: pronucleophile_XH, N, primary_amine, secondary_amine, free, H >= 1",ad_brettphos_pd_naotbu_dioxane.v1,AdBrettPhos Pd G3 (3 mol%),,Sodium tert-butoxide (2 equiv),"1,4-Dioxane",,electrophile 1 equiv | nucleophile 1.2-1.5 equiv,110 C | 18 h | 0.15 M | N2,A highly ortho-hindered aryl bromide receives a sterically demanding free-amine protocol instead of the class default.,Template: Highly ortho-hindered aryl-bromide screening override; primary-procedure review is required before activation.,,,,,,
pd_sp2_cn.free_amine.hindered_nucleophile_ar_br.v1,draft,structural override,"sp2_c_n_substitution; electrophile: leaving_group, Ar, HeteroAr, Br; nucleophile: pronucleophile_XH, N, primary_amine, secondary_amine, free, alpha branches >= 1, H >= 1",ad_brettphos_pd_naotbu_dioxane.v1,AdBrettPhos Pd G3 (3 mol%),,Sodium tert-butoxide (2 equiv),"1,4-Dioxane",,electrophile 1 equiv | nucleophile 1.2-1.5 equiv,110 C | 18 h | 0.15 M | N2,An alpha-branched free amine receives a sterically demanding aryl-bromide protocol instead of the nucleophile-class default.,Template: Alpha-branched free-amine screening override for aryl bromides; primary-procedure review is required before activation.,,,,,,
pd_sp2_cn.primary_alkyl_amine.v1,draft,default,"sp2_c_n_substitution; electrophile: leaving_group, Ar, HeteroAr, Br; nucleophile: pronucleophile_XH, N, primary_amine, Alkyl, free, H >= 2, H <= 2",tbu_brettphos_k3po4_mecn.v1,t-BuBrettPhos Palladacycle Gen. 3 (2 mol%),,Tripotassium phosphate (2 equiv),Acetonitrile,,electrophile 1 equiv | nucleophile 1.1-1.2 equiv,100 C | 16 h | 0.2 M | N2,Default reviewed structural region for an aryl bromide and a free primary alkyl amine.,Template: Complete draft screening recipe derived from the legacy BH_CN_01 rule; primary-procedure review is required before activation. | Template: Alternative bases are presented as choices and are not expanded combinatorially.,,,,,,
pd_sp2_cn.primary_alkyl_amine.v1,draft,default,"sp2_c_n_substitution; electrophile: leaving_group, Ar, HeteroAr, Br; nucleophile: pronucleophile_XH, N, primary_amine, Alkyl, free, H >= 2, H <= 2",tbu_brettphos_cs2co3_mecn.v1,t-BuBrettPhos Palladacycle Gen. 3 (2 mol%),,Cesium carbonate (2 equiv),Acetonitrile,,electrophile 1 equiv | nucleophile 1.1-1.2 equiv,100 C | 16 h | 0.2 M | N2,Default reviewed structural region for an aryl bromide and a free primary alkyl amine.,Template: Complete draft screening recipe derived from the legacy BH_CN_01 rule; primary-procedure review is required before activation. | Template: Alternative bases are presented as choices and are not expanded combinatorially.,,,,,,
pd_sp2_cn.secondary_alkyl_amine.v1,draft,default,"sp2_c_n_substitution; electrophile: leaving_group, Ar, HeteroAr, Br; nucleophile: pronucleophile_XH, N, secondary_amine, Alkyl, free, H >= 1, H <= 1",tbu_brettphos_cs2co3_dioxane.v1,t-BuBrettPhos Palladacycle Gen. 3 (2 mol%),,Cesium carbonate (2 equiv),"1,4-Dioxane",,electrophile 1 equiv | nucleophile 1.1-1.2 equiv,100 C | 16 h | 0.2 M | N2,Default reviewed structural region for an aryl bromide and a free secondary dialkylamine.,Template: Complete draft screening recipes derived from the legacy BH_CN_02 rule; primary-procedure review is required before activation.,,,,,,
pd_sp2_cn.secondary_alkyl_amine.v1,draft,default,"sp2_c_n_substitution; electrophile: leaving_group, Ar, HeteroAr, Br; nucleophile: pronucleophile_XH, N, secondary_amine, Alkyl, free, H >= 1, H <= 1",xantphos_pd_khmds_dioxane.v1,XantPhos-Pd-G2 (2 mol%),,KHMDS (1.5 equiv),"1,4-Dioxane",,electrophile 1 equiv | nucleophile 1.1-1.2 equiv,100 C | 16 h | 0.2 M | N2,Default reviewed structural region for an aryl bromide and a free secondary dialkylamine.,Template: Complete draft screening recipes derived from the legacy BH_CN_02 rule; primary-procedure review is required before activation.,,,,,,
pd_sp2_cn.primary_aryl_amine.v1,draft,default,"sp2_c_n_substitution; electrophile: leaving_group, Ar, HeteroAr, Br; nucleophile: pronucleophile_XH, N, primary_amine, Ar, HeteroAr, free, H >= 2, H <= 2",brettphos_pd_k3po4_dioxane.v1,BrettPhos Pd G3 (2 mol%),,Tripotassium phosphate (2 equiv),"1,4-Dioxane",,electrophile 1 equiv | nucleophile 1.1-1.2 equiv,100 C | 16 h | 0.2 M | N2,Default reviewed structural region for an aryl bromide and a primary aryl amine such as an aniline.,Template: Aniline-class screening default derived from the bounded free-amine fallback; primary-procedure review is required before activation.,,,,,,
pd_sp2_cn.primary_aryl_amine.v1,draft,default,"sp2_c_n_substitution; electrophile: leaving_group, Ar, HeteroAr, Br; nucleophile: pronucleophile_XH, N, primary_amine, Ar, HeteroAr, free, H >= 2, H <= 2",tbu_brettphos_cs2co3_dioxane.v1,t-BuBrettPhos Palladacycle Gen. 3 (2 mol%),,Cesium carbonate (2 equiv),"1,4-Dioxane",,electrophile 1 equiv | nucleophile 1.1-1.2 equiv,100 C | 16 h | 0.2 M | N2,Default reviewed structural region for an aryl bromide and a primary aryl amine such as an aniline.,Template: Aniline-class screening default derived from the bounded free-amine fallback; primary-procedure review is required before activation.,,,,,,
