reaction_smiles,detected_reaction_type,reaction_key
O=C(O)c1cccc(S(=O)(=O)Cl)c1.CC(C)(C)OC(=O)N1CCC(n2cncc2-c2ccc(O)cc2)CC1.CN>>CNC(=O)c1cccc(S(=O)(=O)Oc2ccc(-c3cncn3C3CCN(C(=O)OC(C)(C)C)CC3)cc2)c1,Amide_formation,|Ar-CO2H|Ar-OH|Ar-SO2Cl|CH3-NH2 -> Alkyl-NHCOR|Ar-CONHR | spectators: Alkyl-AromN|Ar-Ar|HeteroAr-H | events: Amid+C-N
NC(N)=S.CC(C)CC(N)C(=O)O>>CC(C)CC1NC(=S)NC1=O,Amide_formation,|R2CH-CO2H|R2CH-NH2|Unclassified-Reactant -> R2CH-CONHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O | spectators: R_acidic-H | events: Amid+Ann+C-N
COc1ccc(CC2(Cc3ccc(OCc4ccccc4)cc3)NC(=O)N(C)C2=O)cc1.O=C(O)C(F)(F)F>>COc1ccc(CC2(Cc3ccc(O)cc3)NC(=O)N(C)C2=O)cc1,Unknown,|Alkyl-CO2H|Ar-OR|Bn-OR -> Ar-OH | bond_broken: C-O | spectators: Alkyl-NRCOR|Ar-Alkyl|R3C-CONR2|R3C-LactamN
Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(OCc2ccccc2)c(C(C)C)c1.NC1COC1>>Cc1cc(OCC(=O)NC2COC2)cc(C)c1Cc1ccc(O)c(C(C)C)c1,Amide_formation,|Ar-OR|Bn-OR|R2CH-NH2|RCH2-CO2H -> Alkyl-NHCOR|RCH2-CONHR | spectators: Ar-Alkyl|RCH2-OR|R_acidic-H | events: Amid+C-N
O=C(O)C1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3.COc1cc(NC(C)CCCN)c2ncccc2c1-c1ccccc1>>COc1cc(NCCCCNC(=O)C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)c2ncccc2c1-c1ccc(F)cc1,Amide_formation,|R2CH-CO2H|R2CH-NHR|RCH2-NH2 -> Alkyl-NHCOR|R2CH-CONHR | spectators: Ar-Ar|Ar-OR|HeteroAr-H|HeteroAr-NHR|Quinoline|R_acidic-H | events: Amid+C-N
O=C(O)C(=O)c1ccc(Cl)cc1.CONC(=O)c1ccc(Cl)cc1>>CON1C(=O)c2ccc(Cl)cc2C1(O)c1ccc(Cl)cc1,Amide_formation,|Acyl-CO2H|Ar-CONHR|Ar-COR -> Alkyl-NRCOR|Ar-CONR2 | spectators: Ar-Cl | events: Amid+Ann+C-N+C-C
O=C(O)[C@@H]1CCCN1.Nc1ncccc1Br>>O=C1Nc2ncccc2N2CCC[C@@H]12,C_N_Coupling,|Ar-NH2|HeteroAr-Br|R2CH-CO2H|R2CH-NHR|RCH2-NHR -> Ar-NHCOR|Ar-NR2 | spectators: HeteroAr-H|Pyridine|R_acidic-H | events: Amid+Ann+LGDisp+C-N
O=C1Nc2ccccc2C1=O.O=C(O)CCc1ccco1.Nc1ccccc1N>>O=C(CCc1ccco1)Nc1ccccc1-c1nc2ccccc2[nH]c1=O,Multi-Event:Amid+C-N,|Ar-COR|Ar-NH2|RCH2-CO2H -> Ar-Ar|AromN-H|HeteroAr-H|Pyrimidine | spectators: Ar-Alkyl|Ar-NHCOR|Furan|HeteroAr-H|R_acidic-H | events: Amid+C-N
COc1cc(/C=C/C(=O)O)cc(OC)c1OC.COC(=O)c1ccc(F)c(N)c1>>COc1cc(/C=C/C(=O)Nc2cc(C(=O)O)ccc2F)cc(OC)c1OC,Amide_formation,|Alkenyl-CO2H|Ar-CO2R|Ar-NH2 -> Alkenyl-CONHR|Ar-NHCOR | spectators: Ar-Alkenyl|Ar-F|Ar-OR | events: Amid+C-N
Nc1ccccc1.COC(=O)[C@H](CSCCCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21>>O=C(CCCSC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O)Nc1ccccc1,Amide_formation,|Ar-NH2|R2CH-CO2R|RCH2-CO2H -> Ar-NHCOR | spectators: Ar-Alkyl|Ar-Ar|RCH2-SR|R_acidic-H | events: Amid+C-N
