name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,role_1_original,qc_flags
Potassium phenoxide,KOPh,100-67-4,,,,,,,,,,base,tertiary_amines_aliphatic,moderate base; hindered,,,,base,smiles_missing;formula_missing
"2,4,6-Trimethoxy-2'-dicyclohexylphosphino biphenyl",TMXPhos,1000171-05-0,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
2-diaMine,,102494-87-1,,,,,,,,,,ligand,diamines,2 N ligand,,,,ligand,smiles_missing;formula_missing
Boron tribromide,BBr3,10294-33-4,BrB(Br)Br,BBr3,liquid,2.782,250.523,91.3,-46.0,0.0,0.0,acid,boron_lewis_acids,strong Lewis acid,,,,acid,density_outlier_for_liquid
p-Toluenesulfonic acid,p-TsOH,104-15-4,,,,,,,,,,acid,sulfonic_acids,strong acid,,,,acid,smiles_missing;formula_missing
SSPhos,SSPhos,1049726-96-6,,,,,,,,,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
cataCXium POMetB,cataCXium POMetB,1053658-91-5,,,,,,,,,,ligand,catacxium_monophosphines,1 P ligand,,,,ligand,smiles_missing;formula_missing
Propionitrile,,107-12-0,CCC#N,,powder,,,,,,,solvent,nitriles,high aprotic solvent,,,,solvent,formula_missing
propylene carbonate,,108-32-7,CC1COC(=O)O1,,liquid,,,,,0.0,0.0,solvent,esters_anhydrides,high aprotic solvent,,,,solvent,formula_missing
"1,5-Cyclooctadiene",COD,111-78-4,,,,,,,,,,ligand,olefin_diene_ligands,olefin (diene) ligand,,,,ligand,smiles_missing;formula_missing
Ag2O,Silver oxide,11113-88-5,,,,,,,,,,base,hydroxides,moderate base,,,,base,smiles_missing;formula_missing
8-Quinolinol N-oxide,8-HQNO,1127-45-3,,,,,,,,,,ligand,quinolinol_no_chelates,2 N ligand,,,,ligand,smiles_missing;formula_missing
"4,4'-Dimethyl-2,2'-bipyridine","4,4'-Dimethyl-2,2'-bipyridine",1134-35-6,CC1=CC(=NC=C1)C2=NC=CC(=C2)C,C12H12N2,liquid,1.2,184.24,309.3,169.0,,,ligand,bipyridines,2 N ligand,,,,ligand,type_mp_inconsistent
"4,4',4''-Tri-tert-butyl-2,2':6',2''-terpyridine",tBu3-terpy,115091-29-7,,,,,,,,,,ligand,terpyridines,3 N ligand,,,,ligand,smiles_missing;formula_missing
