reaction_smiles,reaction_label,spectator_groups
Brc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccccc2)cc1,Ar–Br + Ar–B(OH)2 → Ar–Ar,
Clc1ccc(C#N)cc1.c1ccc(B(O)O)cc1>>N#Cc1ccc(-c2ccccc2)cc1,Ar–Cl + Ar–B(OH)2 → Ar–Ar,nitrile
Brc1ccc(OC)cc1.c1ccc(B(O)O)cc1>>COc1ccc(-c2ccccc2)cc1,Ar–Br + Ar–B(OH)2 → Ar–Ar,ether
Ic1ccncc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccncc2)cc1,HeteroAr–I + Ar–B(OH)2 → HeteroAr–Ar,heteroaryl_nitrogen
Brc1ccc(C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1,Ar–Br + Ar–B(OH)2 → Ar–Ar,
Clc1ccc2ccccc2c1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc3ccccc3c2)cc1,Ar–Cl + Ar–B(OH)2 → Ar–Ar,
Brc1cc(C)ccc1C.c1ccc(B(O)O)cc1>>Cc1ccc(C)c(-c2ccccc2)c1,Ar–Br + Ar–B(OH)2 → Ar–Ar,
Fc1ccc(OS(=O)(=O)C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>Fc1ccc(-c2ccccc2)cc1,Ar–OTf + Ar–B(OH)2 → Ar–Ar,aryl_halide
C/C=C/Br.C=CB(O)O>>C/C=C/C=C,Alkenyl–Br + Alkenyl–B(OH)2 →,
Brc1ccc(OC)cc1.[K+].[B-](F)(F)(F)c2ccccc2>>COc1ccc(-c2ccccc2)cc1,Ar–Br + Ar–BF3K → Ar–Ar,ether
Clc1ccncc1.O=C(CN(C(CN(C(O2)=O)CC(O)=O)=O)CC(O)=O)OB2c3cccnc3>>c4(c5cccnc5)ccncc4,HeteroAr–Cl + HeteroAr–BPin → HeteroAr–HeteroAr,heteroaryl_nitrogen; heteroaryl_nitrogen; amide; carboxylic_acid; carboxylic_acid
Brc1ccc(Cl)nc1.c2ccc(B(O)O)cc2>>c1ccc(-c2ccc(Cl)nc2)cc1,HeteroAr–Br + Ar–B(OH)2 → HeteroAr–Ar,heteroaryl_nitrogen; aryl_halide
Brc1cc(Cl)nc(Cl)c1.c2ccc(B(O)O)nc2>>c1ccc(-c2cc(Cl)nc(Cl)c2)nc1,HeteroAr–Br + HeteroAr–B(OH)2 → HeteroAr–HeteroAr,aryl_halide; aryl_halide; heteroaryl_nitrogen; heteroaryl_nitrogen
Brc1cccc2[nH]ccc12.c3ccc(B(O)O)cc3>>c1ccc(-c2ccc3[nH]ccc3c2)cc1,(Ar–B(OH)2 + AromN–H) OR (Ar–Br + Ar–B(OH)2) OR (intramolecular Ar–Br / AromN–H) →,
FC(F)(F)c1ccc(Cl)cc1.Nc1ccnc(B(O)O)n1>>FC(F)(F)c1ccc(-c2cc(N)ncn2)cc1,(Ar–Cl + HeteroAr–B(OH)2) OR (Ar–Cl + HeteroAr–NH2) OR (intramolecular HeteroAr–B(OH)2 / HeteroAr–NH2) →,
Clc1cncc(B(O)O)c1.Brc2ccc(F)cc2>>Fc1ccc(-c2cc(Cl)cnc2)cc1,Ar–Br + HeteroAr–B(OH)2 → HeteroAr–Ar,aryl_halide; heteroaryl_nitrogen; aryl_halide
Brc1ccc(Br)cc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,Ar–Br + Ar–B(OH)2 →,
Brc1cccc(Br)c1.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc(-c3ccccc3)c2)cc1,Ar–Br + Ar–B(OH)2 →,
Brc1ccccc1.c1ncc(B(O)O)cn1>>c1ccc(-c2cnccn2)cc1,Ar–Br + HeteroAr–B(OH)2 →,
Clc1ccc(C#N)cc1.c1coc(B(O)O)c1>>N#Cc1ccc(-c2ccoc2)cc1,Ar–Cl + HeteroAr–B(OH)2 →,
Brc1ccncc1.c1csc(B(O)O)c1>>c1cc(-c2cccs2)ccn1,HeteroAr–Br + HeteroAr–B(OH)2 → HeteroAr–HeteroAr,heteroaryl_nitrogen
Ic1ccc(C(=O)OC)cc1.c1c[nH]c(B(O)O)c1>>COC(=O)c1ccc(-c2cc[nH]c2)cc1,(Ar–I + AromN–H) OR (Ar–I + HeteroAr–B(OH)2) OR (intramolecular HeteroAr–B(OH)2 / AromN–H) →,
Brc1cnc2ccccc2n1.c1ccc(B(O)O)cc1>>c1ccc(-c2cnc3ccccc3n2)cc1,HeteroAr–Br + Ar–B(OH)2 → HeteroAr–Ar,heteroaryl_nitrogen; heteroaryl_nitrogen
Clc1cccc2c1cc[nH]2.c1ccc(B(O)O)nc1>>c1ccc(-c2cccc3[nH]ccc23)nc1,Ar–Cl + HeteroAr–B(OH)2 → HeteroAr–Ar,heteroaryl_nitrogen
Brc1nc2ccccc2s1.Cc1ccc(B(O)O)cc1>>Cc1ccc(-c2nc3ccccc3s2)cc1,HeteroAr–Br + Ar–B(OH)2 → HeteroAr–Ar,heteroaryl_nitrogen
Ic1nc2ccccc2o1.COc1ccc(B(O)O)cc1>>COc1ccc(-c2nc3ccccc3o2)cc1,HeteroAr–I + Ar–B(OH)2 → HeteroAr–Ar,heteroaryl_nitrogen; ether
Brc1cccc2nsnc12.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc3nsnc23)cc1,Ar–Br + Ar–B(OH)2 → Ar–Ar,heteroaryl_nitrogen; heteroaryl_nitrogen
Brc1ccccc1C(C)C.c1ccc(B(O)O)cc1>>CC(C)c1ccccc1-c1ccccc1,Ar–Br + Ar–B(OH)2 → Ar–Ar,
Clc1c(C)cccc1C.COc1ccc(B(O)O)cc1>>Cc1cccc(C)c1-c1ccc(OC)cc1,Ar–Cl + Ar–B(OH)2 → Ar–Ar,ether
Brc1ccccc1OCC.c1ccc(B(O)O)cc1C>>CCOc1ccccc1-c1ccccc1C,Ar–Br + Ar–B(OH)2 →,
Fc1c(F)c(F)c(Br)c(F)c1F.c1ccc(B(O)O)cc1>>Fc1c(F)c(F)c(-c2ccccc2)c(F)c1F,Ar–Br + Ar–B(OH)2 → Ar–Ar,aryl_halide; aryl_halide; aryl_halide; aryl_halide; aryl_halide
