name,smiles,role,reaction_types,notes,rt_schema_version,rt_valid,rt_canonical_smiles,rt_component_count,rt_site_count,rt_site_types,rt_signatures,rt_chemist_labels,rt_availability,rt_pattern_ids,rt_contexts_json,rt_warnings,rt_error
Bromobenzene,Brc1ccccc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Ullmann; Sonogashira; Heck; Stille; Negishi; Kumada,Standard aryl bromide for all cross-coupling reactions,1.0,true,Brc1ccccc1,1,1,leaving_group,LG|Ar|Br,Ar–Br,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
Chlorobenzene,Clc1ccccc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Ullmann; Sonogashira; Heck,Less reactive; requires activated catalyst systems,1.0,true,Clc1ccccc1,1,1,leaving_group,LG|Ar|Cl,Ar–Cl,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
Iodobenzene,Ic1ccccc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Heck; Stille; Negishi; Kumada,Most reactive aryl halide,1.0,true,Ic1ccccc1,1,1,leaving_group,LG|Ar|I,Ar–I,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
Fluorobenzene,Fc1ccccc1,electrophile,SNAr,Requires strong nucleophiles for SNAr; not for standard cross-coupling,1.0,true,Fc1ccccc1,1,1,leaving_group,LG|Ar|F,Ar–F,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,5,6],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
4-Bromobenzonitrile,Brc1ccc(C#N)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Electron-poor aryl bromide; more reactive,1.0,true,N#Cc1ccc(Br)cc1,1,1,leaving_group,LG|Ar|Br,Ar–Br,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,7,8],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
4-Bromoanisole,Brc1ccc(OC)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Heck,Electron-rich aryl bromide; standard substrate,1.0,true,COc1ccc(Br)cc1,1,1,leaving_group,LG|Ar|Br,Ar–Br,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,7,8],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; SNAr,Highly electron-poor; very reactive,1.0,true,O=[N+]([O-])c1ccc(Br)cc1,1,1,leaving_group,LG|Ar|Br,Ar–Br,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,8,9],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
4-Bromobenzotrifluoride,Brc1ccc(C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Electron-poor CF3 substituent,1.0,true,FC(F)(F)c1ccc(Br)cc1,1,1,leaving_group,LG|Ar|Br,Ar–Br,available,terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,9,10],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Multiple coupling sites; sp2_halide_site_count = 3,1.0,true,Brc1cc(Br)cc(Br)c1,1,3,leaving_group; leaving_group; leaving_group,LG|Ar|Br; LG|Ar|Br; LG|Ar|Br,Ar–Br; Ar–Br; Ar–Br,available; available; available,terminal_carbon_halogen; terminal_carbon_halogen; terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,5,6,8],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}],[{""token"":""Ar"",""attachment_atom_index"":3,""fragment_atom_indices"":[1,2,3,5,6,8],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}],[{""token"":""Ar"",""attachment_atom_index"":6,""fragment_atom_indices"":[1,2,3,5,6,8],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Di-functionalization substrate,1.0,true,Clc1ccc(Cl)cc1,1,2,leaving_group; leaving_group,LG|Ar|Cl; LG|Ar|Cl,Ar–Cl; Ar–Cl,available; available,terminal_carbon_halogen; terminal_carbon_halogen,"[[{""token"":""Ar"",""attachment_atom_index"":1,""fragment_atom_indices"":[1,2,3,4,6,7],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}],[{""token"":""Ar"",""attachment_atom_index"":4,""fragment_atom_indices"":[1,2,3,4,6,7],""classification_method"":""aromatic_ring_system"",""subtype"":""carbocyclic_aromatic_ring"",""matched_pattern"":null,""features"":{""heteroatoms"":[],""ring_sizes"":[6],""fused"":false}}]]",,
