"name","abbreviation","cas","smiles","formula","type","density","mw","bp","mp","volatile","viscose","role_1","family_1","tag_1","role_2","family_2","tag_2","solvent_role_slots","solvent_families","solvent_tags"
"1,2-Dichlorobenzene","","95-50-1","Clc1ccccc1Cl","C6H4Cl2","liquid","1.297","147.002","180.5","-15","0","0","solvent","halogenated_aromatics","medium aprotic solvent","","","","1","halogenated_aromatics","medium aprotic solvent"
"1,2-Dichloroethane","DCE","107-06-2","ClCCCl","C2H4Cl2","liquid","1.173","98.959","83.5","-35","0","0","solvent","halogenated_aliphatics","medium aprotic solvent","","","","1","halogenated_aliphatics","medium aprotic solvent"
"1,2-Dimethoxyethane","DME","110-71-4","COCCOC","C4H10O2","liquid","0.837","90.121","63","-69","0","0","solvent","ethers_cyclic_glymes","medium aprotic solvent","","","","1","ethers_cyclic_glymes","medium aprotic solvent"
"1,3-Dimethyl-2-imidazolidinone","DMI","80-73-9","CN1CCN(C)C1=O","C5H10N2O","liquid","1.044","114.15","225.5","8.2","0","0","solvent","amides_dipolar_aprotic","high aprotic solvent","","","","1","amides_dipolar_aprotic","high aprotic solvent"
"1,4-Dioxane","Dioxane","123-91-1","C1COCCO1","C4H8O2","liquid","1.033","88.1051","131.7","12","0","0","solvent","ethers_cyclic_glymes","medium aprotic solvent","","","","1","ethers_cyclic_glymes","medium aprotic solvent"
"1-Butanol","n-BuOH","71-36-3","CCCCO","C4H10O","liquid","0.81","74.1216","117.6","-89","0","0","solvent","alcohols_primary","medium protic solvent","","","","1","alcohols_primary","medium protic solvent"
"1-Octanol","C8OH","111-87-5","CCCCCCCCO","C8H18O","liquid","0.824","130.2279","195","-16","0","0","solvent","alcohols_primary","medium protic solvent","","","","1","alcohols_primary","medium protic solvent"
"1-Propanol","n-PrOH","71-23-8","CCCO","C3H8O","liquid","0.9","60.095","95.8","-127","","","solvent","alcohols_primary","medium protic solvent","","","","1","alcohols_primary","medium protic solvent"
"2-Butanol","s-BuOH","78-92-2","CCC(C)O","C4H10O","liquid","0.8","74.1216","99.5","-115","0","0","solvent","alcohols_secondary","medium protic solvent","","","","1","alcohols_secondary","medium protic solvent"
"2-Ethoxyethanol","","110-80-5","CCOCCO","C4H10O2","liquid","0.93","90.12","135","-100","0","0","solvent","glycol_ethers_polyols","medium protic solvent","","","","1","glycol_ethers_polyols","medium protic solvent"
"2-Methoxyethanol","","109-86-4","COCCO","C3H8O2","liquid","1.036","76.0944","184.848","-85","0","0","solvent","glycol_ethers_polyols","medium protic solvent","","","","1","glycol_ethers_polyols","medium protic solvent"
"2-Methyl-2-butanol","t-AmylOH","75-85-4","CCC(C)(C)O","C5H12O","liquid","0.811","88.1482","102","-12","0","0","solvent","alcohols_tertiary","medium protic solvent","","","","1","alcohols_tertiary","medium protic solvent"
"2-Methyltetrahydrofuran","MeTHF","96-47-9","CC1CCCO1","C5H10O","liquid","0.86","86.13","78","-136","0","0","solvent","ethers_cyclic_glymes","medium aprotic solvent","","","","1","ethers_cyclic_glymes","medium aprotic solvent"
"Acetic anhydride","Ac2O","108-24-7","CC(=O)OC(C)=O","C4H6O3","liquid","1.072","102.0886","141.1","-73.1","0","0","solvent","esters_anhydrides","medium aprotic solvent","","","","1","esters_anhydrides","medium aprotic solvent"
"Acetone","Me2CO","67-64-1","CC(C)=O","C3H6O","liquid","0.79","58.0791","56","-95","1","0","solvent","ketones","medium aprotic solvent","","","","1","ketones","medium aprotic solvent"
"Acetonitrile","MeCN","75-05-8","CC#N","C2H3N","liquid","0.7857","41.0519","81","-46","0","0","solvent","nitriles","high aprotic solvent","","","","1","nitriles","high aprotic solvent"
"AcOH","AcOH","64-19-7","CC(=O)O","C2H4O2","liquid","1.048","60.052","117","16","0","0","additive","carboxylate_promoters_ch_activation","carboxylate promoters ch activation","solvent","carboxylic_acids","medium acidic solvent","2","carboxylic_acids","medium acidic solvent"
"anisole","PhOMe","100-66-3","COC1=CC=CC=C1","C7H8O","liquid","1.1","108.138","153.6","-37","","","solvent","ethers_acyclic","low aprotic solvent","","","","1","ethers_acyclic","low aprotic solvent"
"Benzene","PhH","71-43-2","c1ccccc1","C6H6","liquid","0.8786","78.11","80.1","5.5","0","0","solvent","hydrocarbons_aromatic","low aprotic solvent","","","","1","hydrocarbons_aromatic","low aprotic solvent"
