Example,Reactant_A,Reactant_B,Detected_A,Detected_B,Predicted_Type,Confidence,Matching_Exps,Top_Catalyst,Top_Ligand,Top_Base,Top_Solvent,Avg_Z_Score,Success_Rate
Diphenylamine,Brc1ccccc1,Nc1ccccc1,Ar-Br,Ar-NH2,C_N_Coupling,1.0,38,NiBr2,12047-27-7,Dabco,DMAc,1.3181270761795087,100.0
Pyridine ethylamine,Clc1ccncc1,NCC,Ar-Cl,RCH2-NH2,C_N_Coupling,1.0,61,,,,iPrOH,0.7772763038769126,100.0
Cyclohexylamine,Brc1ccc(C(F)(F)F)cc1,NC1CCCCC1,"Ar-R,Ar-Br,R3C-F",R2CH-NH2,,0.0,18,NiOAc2,4,DBU,DMF / THF,0.012251629394888422,100.0
Aldehyde substrate,Ic1ccc(C=O)cc1,Nc1ccccc1,"Ar-I,Ar-CHO",Ar-NH2,No Match,0.0,0,N/A,N/A,N/A,N/A,0.0,0.0
Naphthylamine,Brc1ccc2ccccc2c1,NCC,Ar-Br,RCH2-NH2,C_N_Coupling,1.0,33,,,,"1,4-Dioxane",0.5058950005974728,100.0
Benzimidazole,Clc1nc2ccccc2[nH]1,Nc1ccccc1,"Ar-Cl,AromN-H",Ar-NH2,,0.0,9,,,Cs2CO3,DMF,0.3548848735636071,100.0
Ph-Br + aniline diphenylamine,Brc1ccccc1,Nc1ccccc1,Ar-Br,Ar-NH2,C_N_Coupling,1.0,38,NiBr2,12047-27-7,Dabco,DMAc,1.3181270761795087,100.0
Ph-Cl + aniline diphenylamine,Clc1ccccc1,Nc1ccccc1,Ar-Cl,Ar-NH2,C_N_Coupling,1.0,115,,,,iPrOH,0.8172639509523717,100.0
Ph-I + aniline diphenylamine,Ic1ccccc1,Nc1ccccc1,Ar-I,Ar-NH2,C_N_Coupling,1.0,8,1879089-19-6,,Tetramethylguanidine,MeCN,0.45617486766968546,100.0
4-MeO-Ph-Br + aniline,Brc1ccc(OC)cc1,Nc1ccccc1,"Ar-Br,RCH2-OR",Ar-NH2,,0.0,26,Palladium,XPhos,KOtBu,CPME / water,0.955056536499379,100.0
4-Me-Ph-Br + aniline,Brc1ccc(C)cc1,Nc1ccccc1,"Ar-R,Ar-Br",Ar-NH2,,0.0,92,Pd2(dba)3,SPhos,NaOtBu,PhMe,1.3215893702392738,100.0
4-CF3-Ph-Br + aniline,Brc1ccc(C(F)(F)F)cc1,Nc1ccccc1,"Ar-R,Ar-Br,R3C-F",Ar-NH2,,0.0,30,NiBr2,12047-27-7,Dabco,DMAc,0.4679467493402589,100.0
4-CN-Ph-Br + aniline,Brc1ccc(C#N)cc1,Nc1ccccc1,"Ar-Br,Ar-CN",Ar-NH2,,0.0,10,NiBr2,492-22-8,Et3N,DMAc,0.1255504902379563,100.0
4-NO2-Ph-Br + aniline,Brc1ccc([N+](=O)[O-])cc1,Nc1ccccc1,"Ar-Br,Ar-NO2",Ar-NH2,,0.0,5,Pd2(dba)3,tBuXPhos,NaOtBu,"1,4-Dioxane",-0.36590203268178323,100.0
4-acetyl-Ph-Br + aniline,Brc1ccc(C(=O)C)cc1,Nc1ccccc1,"R-H-acidic,Ar-Br,Any-CO-R",Ar-NH2,,0.0,10,NiBr2,492-22-8,Et3N,DMAc,0.005701732449516855,100.0
4-F-Ph-Br + aniline,Brc1ccc(F)cc1,Nc1ccccc1,"Ar-Br,Ar-F",Ar-NH2,,0.0,15,Pd2(dba)3,tBuXPhos,NaOtBu,"1,4-Dioxane",0.09547032697824667,100.0
4-Cl-pyridine + aniline,Clc1ccncc1,Nc1ccccc1,Ar-Cl,Ar-NH2,C_N_Coupling,1.0,115,,,,iPrOH,0.8172639509523717,100.0
4-Br-pyridine + aniline,Brc1ccncc1,Nc1ccccc1,Ar-Br,Ar-NH2,C_N_Coupling,1.0,38,NiBr2,12047-27-7,Dabco,DMAc,1.3181270761795087,100.0
3-Cl-pyridine + aniline,Clc1cccnc1,Nc1ccccc1,Ar-Cl,Ar-NH2,C_N_Coupling,1.0,115,,,,iPrOH,0.8172639509523717,100.0
