source_row,reaction_type,example,rxn_smiles_clean,reactants_smiles,products_smiles,conditions,valid,evidence_quality,transformation_class,named_family,reaction_label,reaction_label_status,candidate_count,warnings,error
2,Suzuki,Simple Ph-Ph,Brc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccccc2)cc1,Brc1ccccc1.c1ccc(B(O)O)cc1,c1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
3,Suzuki,Electron-poor ArCl,Clc1ccc(C#N)cc1.c1ccc(B(O)O)cc1>>N#Cc1ccc(-c2ccccc2)cc1,Clc1ccc(C#N)cc1.c1ccc(B(O)O)cc1,N#Cc1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Cl + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
4,Suzuki,Electron-rich ArBr,Brc1ccc(OC)cc1.c1ccc(B(O)O)cc1>>COc1ccc(-c2ccccc2)cc1,Brc1ccc(OC)cc1.c1ccc(B(O)O)cc1,COc1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
5,Suzuki,Heteroaryl pyridine,Ic1ccncc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccncc2)cc1,Ic1ccncc1.c1ccc(B(O)O)cc1,c1ccc(-c2ccncc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,HeteroAr–I + Ar–B(OH)2 → HeteroAr–Ar,exact_product,1,,
6,Suzuki,CF3 substrate,Brc1ccc(C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1,Brc1ccc(C(F)(F)F)cc1.c1ccc(B(O)O)cc1,FC(F)(F)c1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
7,Suzuki,Naphthyl chloride,Clc1ccc2ccccc2c1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc3ccccc3c2)cc1,Clc1ccc2ccccc2c1.c1ccc(B(O)O)cc1,c1ccc(-c2ccc3ccccc3c2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Cl + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
8,Suzuki,Sterically hindered,Brc1cc(C)ccc1C.c1ccc(B(O)O)cc1>>Cc1ccc(C)c(-c2ccccc2)c1,Brc1cc(C)ccc1C.c1ccc(B(O)O)cc1,Cc1ccc(C)c(-c2ccccc2)c1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,exact_product,1,,
9,Suzuki,Aryl triflate electrophile,Fc1ccc(OS(=O)(=O)C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>Fc1ccc(-c2ccccc2)cc1,Fc1ccc(OS(=O)(=O)C(F)(F)F)cc1.c1ccc(B(O)O)cc1,Fc1ccc(-c2ccccc2)cc1,,True,exact_product_reconstruction,c_c_transfer_coupling,suzuki_miyaura,Ar–OTf + Ar–B(OH)2 → Ar–Ar,exact_product,2,,
10,Suzuki,Vinyl bromide + vinyl boronic acid,C/C=C/Br.C=CB(O)O>>C/C=C/C=C,C/C=C/Br.C=CB(O)O,C/C=C/C=C,,True,reactant_grammar_only,,,Alkenyl–Br + Alkenyl–B(OH)2 →,reactant_only,1,,
11,Suzuki,Potassium aryltrifluoroborate,Brc1ccc(OC)cc1.[K+].[B-](F)(F)c2ccccc2>>COc1ccc(-c2ccccc2)cc1,Brc1ccc(OC)cc1.[K+].[B-](F)(F)c2ccccc2,COc1ccc(-c2ccccc2)cc1,,True,unresolved,,,,unavailable,0,,
